REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,WORK,OCUP,NOMONTH,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,28,1,5,2,2,47,3,5,97,2,7,541,1,51,24,1,541,60,2,,,2,1999,1,82000,1,,2,,335.4258
1,28,1,5,3,1,22,1,6,97,1,7,Z30,1,51,24,1,500,15,2,,,2,1999,1,,1,,2,,335.4258
1,28,1,10,3,2,21,2,9,98,1,6,541,1,39,24,1,541,30,2,,,9,2000,1,12000,1,55000,1,9000,335.4258
1,28,1,11,2,1,40,2,5,97,2,3,700,1,81,18,1,700,60,2,,,12,1998,1,53000,1,,2,,335.4258
1,28,1,12,2,2,29,1,5,98,2,2,425,1,39,24,1,541,5,1,9,98,,,1,7500,1,35000,1,1500,335.4258
1,28,1,13,2,2,35,1,8,98,2,6,Z20,1,39,24,1,541,45,2,,,8,2000,1,22000,1,20000,2,,335.426
1,28,1,14,3,2,42,2,3,98,1,7,Z90,1,57,24,1,541,48,1,7,98,,,2,,,30000,2,,335.426
1,28,1,14,4,2,29,1,1,98,2,7,Z20,1,39,24,1,541,9,2,,,1,2000,1,18000,1,,2,,335.426
1,28,1,18,1,1,67,1,10,97,2,7,Z40,4,96,2,2,,,1,12,97,,,2,,,,2,,335.426
1,28,1,18,2,2,65,2,1,98,2,7,134,4,96,2,2,,,1,3,98,,,2,,,,2,,335.426
1,28,1,18,3,1,38,3,10,97,2,7,Z90,1,66,12,1,855,38,1,9,98,,,1,100000,1,84000,2,,335.426
1,28,1,18,3,2,37,1,5,98,1,7,192,4,36,1,2,,,1,6,98,,,2,,,10000,2,,335.426
1,28,1,20,3,2,30,1,5,96,1,6,451,1,81,36,1,541,26,2,,,5,1999,1,12150,3,,2,,335.426
1,28,1,21,6,1,67,5,6,98,2,7,Z40,8,96,5,2,,,2,,,12,1998,2,,,,2,,335.426
1,28,1,35,3,2,40,1,10,96,1,7,Z90,1,47,88,1,541,52,2,,,88,8888,1,6000,1,,2,,402.5109
1,28,1,49,2,2,43,2,4,96,2,3,Z20,1,35,24,1,541,54,2,,,3,1999,1,32400,1,,2,,323.3506
1,28,1,58,6,1,41,5,11,97,2,7,Z90,1,52,12,1,43,60,2,,,12,1998,1,199200,1,,2,,323.3506
1,28,1,63,1,1,71,1,1,98,2,7,123,6,96,6,2,,,1,8,98,,,2,,,,2,,402.5112
1,28,1,69,3,2,36,2,11,97,2,2,Z20,1,39,24,1,541,34,2,,,10,1999,1,22500,1,,2,,402.5112
1,28,1,69,3,1,34,3,9,97,1,6,570,1,81,24,1,570,59,2,,,9,1999,2,,,,2,,402.5112
1,28,1,80,2,2,36,1,6,97,2,4,Z20,1,39,24,1,541,18,2,,,6,1999,1,37800,1,,2,,365.9191
1,28,1,85,4,2,39,2,7,98,2,7,541,1,39,88,1,541,60,2,,,88,8888,2,,,,2,,312.0242
1,28,1,92,2,1,32,2,6,98,2,7,332,1,81,24,1,332,24,2,,,12,1998,1,72000,1,150000,1,5000,312.0242
1,28,2,98,3,2,24,1,1,96,1,7,Z20,1,89,24,1,759,33,2,,,88,8888,1,90000,1,,2,,564.6142
1,28,2,106,3,2,28,1,10,94,1,7,139,1,39,24,1,541,48,2,,,88,8888,2,,,,2,,564.6142
1,28,2,113,3,2,40,4,1,98,4,4,Z20,1,39,88,1,541,60,2,,,88,8888,1,27000,1,,1,3150,564.6157
1,28,2,126,6,1,42,2,3,98,1,4,649,1,81,24,1,552,31,2,,,2,2000,1,2250,4,,2,,564.6153
1,28,2,143,2,2,42,1,7,95,2,2,Z20,1,51,28,1,541,47,1,12,97,,,2,,,,2,,615.9443
1,28,2,143,2,2,82,2,3,97,2,0,621,6,96,8,1,549,60,2,,,88,8888,1,17600,5,,2,,615.9443
