REG,HHID,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6M_DTLEFT,Q6Y_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9USOCC,Q10_REASON,Q11_BASE,Q12_CTRY,Q13_STAY,Q14_INDWORK,Q15OCCUP,Q16_NOMONTH,Q17_RET,Q18M_DTRET,Q18Y_DTRET,Q19_REASON,Q20M_DTEXP,Q20Y_DTEXP,Q21_CASHREM,Q22_CASHAMT,Q23_MODE,Q241C_CONSUM,Q241P_CONSUM,Q242C_INVEST,Q242P_INVEST,Q243C_SAVINGS,Q243P_SAVINGS,Q244C_OTHERS,Q244P_OTHERS,Q25_RET6MOS,Q26_CASHHOME,Q27_INKIND,Q28_KINDAMT,SWGT,P6M_IND
01,121125000102101280001280202800000070069,08,05,1,32,02,12,2012,2,65,215,1,1,081,24,1,215,24,2,,,,12,2014,1,0180000,1,1,100,,,,,,,2,,2,,000514.2817,
01,121125000102101280001280202800000070069,09,03,2,27,02,01,2013,2,67,231,1,1,082,05,1,313,54,1,06,2013,3,,,1,0030000,1,1,100,,,,,,,1,0100000,2,,000516.5427,
01,121125000102101280001280202800000100098,06,05,1,33,04,04,2013,2,65,512,1,2,047,06,1,741,36,2,,,,10,2013,1,0120000,1,1,100,,,,,,,2,,2,,000514.2817,
01,121125000102101280001280202800000130126,06,05,1,31,01,09,2012,2,06,512,1,1,051,24,1,512,12,2,,,,09,2014,1,0030000,1,1,100,,,,,,,2,,2,,000514.2817,
01,121125000102101280001280202800000158001,01,01,1,40,05,04,2013,2,68,023,1,2,032,09,1,512,45,2,,,,01,2014,1,0138000,1,1,100,,,,,,,2,,2,,000472.4872,
01,121125000102101280001280202800000170163,04,08,1,42,02,04,2013,2,64,714,1,1,010,23,1,741,48,2,,,,03,2015,1,0078000,5,1,100,,,,,,,2,,2,,000472.4872,
01,121125000102101280001280202800000188002,06,03,2,27,01,02,2010,2,67,223,1,1,018,88,1,223,43,2,,,,88,8888,1,0065000,1,1,100,,,,,,,2,,2,,000516.5427,
01,222128000172101280001280300900000140138,04,02,2,46,02,03,2012,2,04,021,1,1,039,22,1,913,36,2,,,,01,2014,1,0025000,5,1,100,,,,,,,2,,2,,000268.4508,
01,222128000172101280001280300900000140138,05,05,2,28,01,08,2012,2,04,021,1,1,039,19,1,913,13,2,,,,03,2014,1,0019000,5,1,100,,,,,,,2,,2,,000359.1375,
01,222128000172101280001280300900000220220,03,02,2,58,03,03,2012,2,53,021,1,1,046,22,1,513,42,2,,,,01,2014,1,0027000,4,1,100,,,,,,,2,,2,,000225.8942,
01,222128000172101280001280300900000220220,04,03,2,34,01,02,2011,2,57,021,1,1,046,88,1,513,31,2,,,,88,8888,2,,,,,,,,,,,2,,2,,000359.1375,
01,321331000202301280001280302100000030031,02,05,1,37,02,09,2012,2,68,023,1,2,035,15,1,834,36,2,,,,12,2013,1,0036000,1,1,060,,,3,040,,,2,,2,,000505.1378,
01,221117000212101280001280400600000150334,02,02,2,46,02,03,2013,2,04,021,1,1,021,11,1,913,42,2,,,,02,2014,1,0014000,1,1,070,,,3,030,,,2,,2,,000418.2850,
01,221117000212101280001280400600000150334,05,05,2,25,01,04,2011,2,04,921,1,1,082,25,1,913,25,1,05,2013,2,,,1,0004000,1,1,100,,,,,,,1,0016000,1,0003500,000559.5880,
01,221117000212101280001280400600000150334,07,05,1,28,01,11,2011,2,04,611,1,1,050,17,1,817,17,1,04,2013,1,,,2,,,,,,,,,,,1,0083000,1,0007000,000557.1385,
01,322214000322301280001280503800000130122,02,02,2,45,03,08,2012,2,04,021,1,1,039,25,1,913,50,2,,,,09,2014,1,0020000,5,1,100,,,,,,,2,,2,,000388.4617,
01,322214000322301280001280503800000130122,03,03,2,27,01,09,2013,1,67,021,1,1,081,25,1,222,00,2,,,,10,2015,2,,,,,,,,,,,2,,2,,000519.6900,
01,322214000322301280001280503800000220205,03,03,2,29,02,06,2011,1,68,512,1,1,094,88,1,421,44,2,,,,88,8888,1,0029000,5,1,100,,,,,,,2,,2,,000519.6900,
01,122104000422101280001280600800000060054,08,08,2,46,02,04,2011,2,58,023,1,1,039,88,1,913,29,2,,,,88,8888,1,0053000,1,1,100,,,,,,,2,,1,0003200,000413.4182,
01,122104000422101280001280600800000080070,07,03,2,29,01,07,2010,1,57,513,1,1,018,48,1,513,38,2,,,,07,2014,1,0010000,1,1,100,,,,,,,2,,2,,000553.0771,
01,122104000422101280001280600800000090079,03,02,2,28,02,05,2012,2,06,611,1,1,067,24,1,913,28,2,,,,05,2014,1,0022000,4,1,090,,,3,010,,,2,,2,,000553.0771,
01,122205000442101280001280800600000010021,07,02,2,46,01,05,2012,2,06,021,1,1,082,25,1,913,16,2,,,,06,2014,1,0029000,5,1,100,,,,,,,2,,2,,000408.9071,
01,122205000442101280001280800600000170251,04,05,2,25,01,07,2013,2,66,021,1,1,078,25,1,913,02,2,,,,08,2015,1,0004000,5,1,100,,,,,,,2,,2,,000547.0421,
01,222231000522101280001280900900000030033,05,03,2,48,01,12,2009,1,04,021,1,1,082,88,1,913,45,2,,,,88,8888,1,0030000,5,1,100,,,,,,,2,,2,,000388.4617,
01,222231000522101280001280900900000050059,04,05,2,28,01,07,2013,2,04,515,1,1,057,24,1,913,02,2,,,,07,2015,2,,,,,,,,,,,2,,2,,000519.6900,
01,222231000522101280001280900900000100116,04,03,2,33,02,12,2010,2,66,021,1,1,051,88,1,913,42,2,,,,88,8888,1,0020000,5,1,095,,,3,005,,,2,,2,,000519.6900,
01,222231000522101280001280900900000130156,05,03,1,29,02,08,2010,2,65,131,1,1,094,40,1,215,33,2,,,,12,2013,1,0060000,5,1,085,2,005,3,010,,,2,,2,,000517.4152,
01,222231000522101280001280900900000170205,03,02,2,52,01,11,2009,2,06,021,1,1,010,53,1,913,46,2,,,,04,2014,1,0030000,5,1,095,,,3,005,,,2,,2,,000388.4617,
01,421231000552301280001280901800000070087,01,01,1,38,04,09,2013,2,68,023,1,2,052,15,1,834,40,2,,,,12,2014,1,0150000,1,1,085,,,3,015,,,1,0200000,1,0040000,000473.9266,
01,421231000552301280001280901800000090115,10,08,2,34,02,12,2012,4,06,522,1,1,081,12,1,913,36,2,,,,12,2013,1,0030000,5,1,095,,,3,005,,,2,,2,,000518.1163,
01,321110000852301280001281206600000040043,04,02,2,62,03,10,2012,2,61,234,1,1,039,23,1,913,56,2,,,,09,2014,1,0030000,5,1,095,,,3,005,,,2,,2,,000324.9007,
01,321110000852301280001281206600000080096,03,03,1,32,01,01,2011,1,67,223,1,1,095,35,1,512,32,2,,,,12,2013,2,,,,,,,,,,,2,,2,,000514.2817,
01,321110000852301280001281206600000140176,04,06,2,25,01,08,2013,1,67,231,1,1,081,15,1,223,01,2,,,,11,2014,2,,,,,,,,,,,2,,2,,000516.5427,
01,321110000852301280001281206600000140176,05,06,1,24,02,08,2013,1,68,023,1,2,096,10,1,314,26,2,,,,06,2014,1,1200000,1,1,040,,,3,060,,,2,,2,,000439.3415,
01,421102000922301280001281207200000040039,04,03,1,30,02,07,2013,1,67,131,1,1,082,24,1,122,25,2,,,,07,2015,1,0027000,1,1,080,,,3,020,,,2,,2,,000514.2817,
01,421102000922301280001281207200000140140,05,03,2,37,02,03,2012,1,67,223,1,1,081,24,1,223,56,2,,,,03,2014,1,0015000,1,1,095,,,3,005,,,2,,2,,000456.5883,
01,421102000922301280001281207200000170167,07,05,2,34,01,03,2013,2,61,239,1,1,081,37,1,913,06,2,,,,04,2016,1,0032000,1,1,100,,,,,,,2,,2,,000516.5427,
01,321206000672301280001281208100000030041,03,03,1,38,05,02,2013,2,58,023,1,2,052,10,1,834,50,2,,,,12,2013,1,0060000,1,1,070,,,3,030,,,2,,2,,000511.3418,
01,321206000672301280001281208100000080108,02,02,2,35,02,03,2011,2,57,021,1,1,035,36,1,513,55,2,,,,03,2014,1,0072000,1,1,080,,,3,020,,,2,,2,,000494.1355,
01,422223000992301280001281501100000010012,03,03,2,23,01,12,2012,2,67,343,1,1,081,12,1,223,09,2,,,,12,2013,1,0025000,1,1,095,,,3,005,,,2,,2,,000508.8274,
01,422223000992301280001281501100000050077,01,01,2,40,02,05,2012,3,04,021,1,1,082,23,1,913,58,2,,,,04,2014,1,0018000,1,1,100,,,,,,,2,,2,,000507.7251,
01,422223000992301280001281501100000060092,03,05,2,35,01,03,2013,3,04,131,1,1,081,23,1,913,06,2,,,,02,2015,1,0013500,5,1,100,,,,,,,2,,2,,000507.7251,
01,422223000992301280001281501100000160245,01,01,2,41,02,07,2011,3,04,021,1,1,082,25,1,913,43,1,08,2013,2,,,1,0010000,5,1,100,,,,,,,1,0020000,1,0012000,000507.7251,
01,422223000992301280001281501100000210321,01,01,1,30,01,09,2010,2,04,712,1,1,081,32,1,833,32,1,05,2013,2,,,1,0006000,1,1,080,,,3,020,,,1,0015000,1,0007000,000571.8800,
01,121214001092101280001281600300000010002,02,02,2,29,01,02,2013,2,67,021,1,1,066,26,1,223,07,2,,,,04,2015,2,,,,,,,,,,,2,,2,,000559.0202,
01,422112001072301280001281600400000010013,04,03,1,33,03,08,2013,1,68,512,1,1,094,88,1,512,38,2,,,,88,8888,2,,,,,,,,,,,2,,2,,000516.2401,
01,422112001072301280001281600400000010013,05,03,2,38,01,07,2013,2,03,023,1,1,094,24,1,913,02,2,,,,07,2015,2,,,,,,,,,,,2,,2,,000458.3271,
01,422112001072301280001281600400000160353,02,02,2,43,01,08,2013,2,04,021,1,1,039,24,1,913,01,2,,,,08,2015,2,,,,,,,,,,,2,,2,,000458.3271,
01,221222001132101280001281700200000070062,04,02,2,27,01,12,2009,2,04,515,1,1,082,48,1,913,45,2,,,,12,2013,1,0030000,1,1,090,,,3,010,,,2,,1,0010000,000518.1163,
01,221222001132101280001281700200000130121,04,03,1,37,01,08,2012,2,06,522,1,1,089,36,1,825,13,2,,,,08,2015,1,0042000,1,1,030,2,060,3,010,,,2,,2,,000473.9266,
01,221314001232101280001281801500000010013,05,05,2,29,01,05,2013,2,58,021,1,1,082,24,1,913,04,2,,,,05,2015,1,0007000,1,1,100,,,,,,,2,,2,,000517.7229,
01,221314001232101280001281801500000030046,04,03,2,31,01,10,2010,1,64,023,1,1,018,48,1,913,35,2,,,,10,2014,1,0030000,5,1,100,,,,,,,2,,1,0012000,000517.7229,
01,221314001232101280001281801500000030046,05,03,2,26,01,02,2013,4,57,512,1,1,039,24,1,913,07,2,,,,02,2015,1,0030000,5,1,100,,,,,,,2,,2,,000517.7229,
01,221314001232101280001281801500000080128,06,05,2,28,02,07,2012,2,06,023,1,1,018,30,1,513,14,2,,,,01,2015,1,0030000,1,1,100,,,,,,,2,,2,,000517.7229,
01,221314001232101280001281801500000080128,09,03,2,33,01,12,2012,2,06,023,1,1,039,10,1,913,09,2,,,,10,2013,1,0030000,5,1,080,,,3,020,,,2,,1,0013000,000517.7229,
01,221314001232101280001281801500000100161,02,02,2,41,01,06,2012,2,04,621,1,1,082,24,1,913,15,2,,,,06,2014,1,0030000,1,1,100,,,,,,,2,,2,,000457.6316,
01,221314001232101280001281801500000130209,01,01,1,52,05,04,2013,2,68,023,1,2,095,09,1,834,33,2,,,,01,2014,1,0309600,1,1,070,,,3,030,,,2,,2,,000373.3517,
01,221314001232101280001281801500000140223,07,06,2,25,01,06,2012,1,65,023,1,1,094,24,1,913,15,2,,,,06,2014,1,0048000,1,1,100,,,,,,,2,,2,,000517.7229,
01,221314001232101280001281801500000190305,03,03,1,25,01,05,2013,1,04,522,1,1,078,24,1,931,04,2,,,,05,2015,1,0030000,1,1,100,,,,,,,2,,2,,000515.4567,
01,322120001282301280001281901500000070063,01,01,1,41,02,03,2013,2,04,611,1,1,094,37,1,721,30,2,,,,04,2016,1,0033000,1,1,100,,,,,,,2,,2,,000474.2864,
