REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,WORK,OCUP,NOMONTH,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,33,2,990,3,2,37,2,1,94,1,4,490,1,39,24,1,541,58,2,,,12,1996,1,15000,1,,2,,719.0312
1,33,2,820,3,2,30,1,6,95,1,5,381,1,39,24,1,541,16,2,,,6,1997,1,13000,1,,2,,719.0372
1,33,2,820,3,2,28,1,9,94,1,4,Z20,1,39,24,1,541,25,2,,,12,1996,1,142000,1,,2,,719.0372
1,33,2,822,2,2,38,1,8,94,2,4,Z20,1,82,24,1,541,29,2,,,12,1996,1,15700,1,,2,,719.0372
1,33,2,825,3,1,24,3,11,95,1,5,541,1,52,10,1,981,38,2,,,10,1996,1,32600,1,,2,,719.0372
1,33,1,633,2,1,28,5,7,96,2,5,Z90,1,66,10,1,861,42,2,,,5,1997,1,9000,1,,2,,335.5524
1,33,1,636,2,1,33,3,3,95,2,6,541,1,81,21,1,386,56,2,,,12,1996,1,30000,1,,1,4000,335.5524
1,33,2,935,6,2,31,2,99,95,1,3,Z20,1,39,24,1,541,36,2,,,99,1998,2,,,,2,,719.0323
1,33,2,831,6,1,33,1,7,95,1,5,621,1,89,48,1,959,7,1,2,96,,,2,,,,2,,719.0337
1,33,2,835,6,1,30,1,9,94,2,5,843,1,81,24,1,985,24,2,,,11,1996,1,62200,4,,2,,719.0337
1,33,2,835,6,2,32,2,7,94,1,5,389,1,39,24,1,541,38,2,,,99,1999,1,3000,3,,1,2500,719.0337
1,33,2,835,6,2,28,1,8,96,1,5,Z20,1,39,24,1,541,2,2,,,8,1998,2,,,,2,,719.0337
1,33,2,838,2,1,31,1,9,94,2,2,611,1,50,24,1,999,24,2,,,9,1997,1,79000,1,,2,,719.0337
1,33,2,861,3,2,26,2,7,96,1,2,Z20,1,39,24,1,541,38,2,,,8,1998,1,24000,1,100000,1,283000,719.0341
1,33,1,715,3,2,25,1,1,96,1,6,Z20,1,54,24,1,66,8,2,,,1,1998,1,93000,1,,2,,335.5525
1,33,1,715,1,1,46,3,6,96,2,4,872,1,81,12,1,872,37,2,,,4,1997,1,95000,4,36750,1,16400,335.5525
1,33,1,718,6,2,64,2,6,96,3,4,Z20,1,96,88,1,541,55,2,,,88,8888,1,1308,5,39240,1,7500,335.5525
1,33,1,722,1,1,48,1,11,91,2,2,532,1,81,24,1,532,24,1,10,93,,,2,,,,2,,335.5524
1,33,1,723,1,1,42,5,10,95,2,5,Z90,1,82,12,1,981,50,1,9,96,,,1,62760,1,78450,2,,335.5524
1,33,1,726,1,1,43,3,9,95,2,5,872,1,82,12,1,872,42,2,,,11,1996,2,,,,2,,335.5524
1,33,1,728,1,1,46,1,99,93,2,2,954,1,81,24,1,871,24,1,2,95,,,2,,,,2,,335.5524
1,33,1,729,1,1,42,1,99,92,2,4,985,1,94,48,1,872,48,1,7,95,,,2,,,,2,,335.5524
1,33,1,730,4,2,25,1,5,94,2,3,Z20,1,82,24,1,541,1,1,6,94,,,2,,,,2,,335.5524
1,33,1,732,3,2,26,1,99,93,1,4,541,1,39,24,1,541,26,2,,,99,1996,1,2000,3,,2,,335.5524
1,33,1,758,3,2,24,1,9,96,1,4,999,1,82,24,1,541,0,2,,,9,1998,2,,,,2,,335.5526
1,33,1,758,3,1,27,1,11,95,1,5,Z90,1,51,24,1,872,11,2,,,11,1997,2,,,,2,,335.5526
