RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17_DTRET,RQ18_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_REMSPENT,RQ23_RET6MOS,RQ24_CASHHOME,RQ25_INKIND,RQ26_KINDAMT,RSWGT,RP6M_IND
01,0028,003,00067,03,03,2,30,01,012005,2,64,021,1,234,36,1,913,36,1,012008,      ,2,       , ,                    ,2,       ,2,       ,000522.6789,2
01,0028,003,00067,07,03,2,34,02,012008,2,05,021,1,234,88,1,913,60,2,      ,888888,2,       , ,                    ,2,       ,2,       ,000522.6789,1
01,0029,003,00067,04,03,2,34,01,092006,2,64,021,1,234,24,1,913,24,1,092008,      ,2,       , ,                    ,2,       ,2,       ,000522.6789,2
01,0030,004,00099,02,02,2,34,03,062009,2,04,021,1,222,23,1,913,37,2,      ,052011,1,0009000,4,1090    3010        ,1,0080000,2,       ,000524.2664,1
01,0031,001,00109,02,02,2,32,01,082008,2,04,021,1,222,24,1,913,13,2,      ,082010,1,0011000,1,105020103025        ,2,       ,2,       ,000522.6789,1
01,0032,001,00109,06,08,2,42,01,092008,3,04,021,1,211,25,1,913,12,2,      ,102010,1,0013000,1,105020103010        ,2,       ,2,       ,000423.7486,1
01,0033,001,00109,03,08,2,40,02,122007,2,03,921,1,400,35,1,913,45,2,      ,112010,1,0014000,1,105020153005        ,2,       ,2,       ,000423.7486,1
01,0034,001,00109,02,02,2,45,02,032006,2,63,913,1,500,88,1,913,50,2,      ,888888,1,0033000,1,10502010            ,2,       ,2,       ,000387.4868,1
01,0035,001,00109,02,02,2,56,02,062008,2,03,913,1,211,25,1,913,40,2,      ,072010,1,0263000,1,1050    3010        ,2,       ,2,       ,000373.3969,1
01,0036,001,00109,02,02,2,41,02,052009,2,05,913,1,235,24,1,913,29,2,      ,052011,1,0009000,1,10502010            ,2,       ,2,       ,000423.7486,1
01,0037,001,00109,05,05,2,31,01,062007,2,05,021,1,211,25,1,913,25,1,072009,      ,1,0005000,1,10502020            ,1,0020000,2,       ,000522.6789,1
01,0038,002,00113,02,02,2,46,01,122007,2,61,021,1,500,36,1,330,21,2,      ,122010,1,0100000,2,1040    3060        ,2,       ,2,       ,000387.4868,1
01,0039,002,00113,02,02,2,41,01,062008,2,05,921,1,211,22,1,913,15,2,      ,042010,1,0043000,4,1020    3080        ,2,       ,2,       ,000423.7486,1
01,0040,002,00123,03,08,2,41,01,052009,3,04,021,1,211,24,1,913,04,2,      ,052011,1,0011000,1,1070    3030        ,1,0030000,2,       ,000423.4268,1
01,0041,002,00123,01,01,1,71,02,032006,2,02,611,1,500,38,1,921,60,1,052009,      ,2,       , ,                    ,1,0096000,2,       ,000359.8251,1
01,0042,002,00123,06,05,2,23,02,092009,2,04,021,1,234,10,1,913,15,2,      ,072010,1,0020000,1,105020303020        ,1,0010000,1,0010500,000466.9281,1
01,0043,002,00123,02,03,2,47,01,112007,2,05,021,1,211,24,1,913,22,2,      ,112009,1,0034000,4,1040    3030        ,2,       ,2,       ,000387.1926,1
01,0044,004,00160,05,07,2,48,01,102006,2,03,021,1,211,48,1,913,35,2,      ,102010,1,0014000,2,1100                ,2,       ,2,       ,000387.1926,1
01,0045,004,00160,02,04,1,25,01,062008,1,04,921,1,234,12,1,713,12,1,062009,      ,1,0005000,2,1100                ,1,0080000,2,       ,000503.3644,1
01,0046,004,00160,03,02,1,41,01,072009,2,05,724,2,500,08,1,724,02,2,      ,032010,1,0028800,2,1100                ,2,       ,2,       ,000428.2146, 
