RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGC,RQ9_2DGT,RQ10_REASON,RQ11_BASE,RQ12_NCOUNTRY,RQ13_STAY,RQ14_INDWORK,RQ15_2DGT,RQ16_2DGT,RQ17_AVEMINC,RQ18_NOMONTH,RQ19_RET,RQ20_DTRET,RQ20M_DTRET,RQ20Y_DTRET,RQ21_REASON,RQ22_DTEXP,RQ22M_DTEXP,RQ22Y_DTEXP,RQ23_CASHREM,RQ24_CASHAMT,RQ25_MODE,RQ26_REMSPENT,RQ261C_CONSUM,RQ261P_CONSUM,RQ262C_INVEST,RQ262P_INVEST,RQ263C_SAVINGS,RQ263P_SAVINGS,RQ264C_GIFT,RQ264P_GIFT,RQ265C_OTHERS,Q265P_OTHERS,RQ27_RET6MOS,RQ28_CASHHOME,RQ29_INKIND,RQ30_KINDAMT,RSWGT,RPRRCD,RP6M_IND
03,2878,053,00221,06,07,1,27,01,112017,11,2017,2,4,74,1,1,232,24,1,74,42,0025000,10,2,      ,  ,    , ,112019,11,2019,1,  60000,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000632.0628,    ,1
03,2879,053,00221,05,02,1,46,02,052015,05,2015,2,4,74,1,1,233,43,1,74,42,0025000,40,2,      ,  ,    , ,122018,12,2018,1, 102000,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000514.1918,    ,1
03,2880,053,00045,04,03,1,31,01,022018,02,2018,1,7,35,1,1,213,36,1,35,55,0030000,07,2,      ,  ,    , ,022021,02,2021,1, 187000,5,1090    3010        ,1,090, ,   ,3,010, ,   , ,   ,2,       ,2,       ,000629.7470,    ,1
03,2881,053,00045,06,03,1,32,02,012017,01,2017,1,7, 9,1,1,213,36,1,22,27,0030000,57,2,      ,  ,    , ,012020,01,2020,1,  60000,5,1095    3005        ,1,095, ,   ,3,005, ,   , ,   ,2,       ,2,       ,000629.7470,    ,1
03,2882,053,00045,06,04,2,27,02,092018,09,2018,1,6,52,1,1,234,24,1,52,47,0020000,36,2,      ,  ,    , ,092020,09,2020,2,       , ,                    , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000617.1035,    ,1
03,2883,054,00446,07,04,2,34,02,052017,05,2017,1,7, 9,1,1,213,30,1,82,27,0020000,51,2,      ,  ,    , ,112019,11,2019,1,  60000,5,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000411.6512,    ,1
03,2884,054,00446,01,01,1,40,05,052018,05,2018,2,8, 9,1,2,400,10,1,31,50,0075000,60,2,      ,  ,    , ,032019,03,2019,1, 240000,1,107020203010        ,1,070,2,020,3,010, ,   , ,   ,2,       ,2,       ,000381.0165,    ,1
03,2884,054,00446,02,02,2,40,01,022014,02,2014,2,9,13,4, ,211,00,2,  ,  ,       ,  ,1,022014,02,2014,3,      ,  ,    ,2,       , ,                    , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000374.6014,    ,2
03,2884,054,00446,03,03,1,13,01,022014,02,2014,1,1, 9,4, ,211,00,2,  ,  ,       ,  ,1,022014,02,2014,3,      ,  ,    ,2,       , ,                    , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000378.2597,    ,2
03,2884,054,00446,04,04,2,10,01,022014,02,2014,1,0, 9,4, ,211,00,2,  ,  ,       ,  ,1,022014,02,2014,3,      ,  ,    ,2,       , ,                    , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000353.6983,    ,2
03,2885,054,00446,07,04,2,34,03,012018,01,2018,2,7,82,1,1,231,12,1,52,47,0030000,56,2,      ,  ,    , ,012019,01,2019,1,  48000,1,1100                ,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000411.6512,    ,1
