REGN,FILLER,URB,HHCN,REL,SEX,AGE,TLEFT,MDTLEFT,YDTLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,MDTRET,YDTRET,MDTEXP,YDTEXP,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT,P6M_IND
1,29,1,363,3,2,38,3,7,2000,1,6,522,1,39,24,1,913,36,1,8,2002,,,1,3000,1,1,5000,1,3000,255.7337,1
1,29,1,369,2,2,38,2,3,2000,2,6,21,1,39,24,1,913,60,1,4,2002,,,1,6000,1,1,10000,1,20000,255.7337,1
1,29,2,580,2,2,48,3,4,2002,2,2,21,1,39,24,1,913,60,2,,,4,2004,1,20000,1,1,80000,1,15500,396.2967,1
1,29,2,584,3,2,25,3,12,2001,1,5,921,1,39,24,1,913,56,2,,,12,2003,1,15000,4,2,,2,,396.2967,1
1,29,2,584,3,1,24,1,1,2001,1,5,921,1,50,24,1,932,20,2,,,1,2003,1,25000,4,2,,2,,396.2967,1
1,29,2,588,2,2,33,2,2,2001,2,4,21,1,82,24,1,913,46,2,,,2,2003,1,25000,4,2,,2,,396.2967,1
1,29,2,414,2,2,39,3,1,2000,2,3,21,1,57,36,1,913,57,2,,,1,2003,1,18000,4,2,,2,,396.2962,1
1,29,2,476,3,2,26,2,9,2002,1,6,411,1,89,33,1,724,36,2,,,6,2005,1,17000,4,1,80000,1,22500,396.2976,1
1,29,2,477,2,2,36,1,3,2000,2,2,21,1,89,53,1,913,30,2,,,8,2004,1,30000,1,2,,2,,396.2976,1
1,29,2,487,3,1,30,1,2,1999,1,4,921,1,82,24,1,913,23,1,1,2001,,,2,,,2,,2,,475.5552,2
1,29,2,495,2,2,45,1,12,1999,2,1,21,1,47,88,1,913,34,2,,,88,8888,1,30000,1,2,,2,,396.2966,1
1,29,2,497,3,2,34,1,11,2000,2,4,921,1,103,24,1,913,23,2,,,11,2002,1,29000,1,2,,2,,396.2966,1
1,29,2,501,2,2,38,2,8,2000,2,4,21,4,35,88,1,913,60,2,,,88,8888,1,26000,3,2,,2,,396.2966,1
1,29,2,503,3,2,42,1,8,2002,4,4,921,1,57,19,1,913,2,2,,,5,2004,2,,,2,,2,,396.2966,1
1,29,2,503,3,2,29,2,11,2000,1,6,921,1,82,24,1,913,47,2,,,12,2002,1,37000,3,2,,2,,396.2966,1
1,29,1,243,3,2,27,1,9,2002,1,6,113,4,18,1,2,,,2,,,10,2002,2,,,2,,2,,208.2284,2
1,29,1,248,2,2,30,2,2,2002,2,4,21,1,39,24,1,913,32,2,,,2,2004,1,18000,4,2,,2,,208.2284,1
1,29,1,250,2,2,61,1,6,2002,2,7,22,4,96,6,2,,,2,,,11,2002,2,,,2,,2,,208.2284,2
1,29,2,423,3,2,42,2,12,2001,1,4,21,1,39,88,1,913,30,2,,,88,8888,1,30000,1,2,,2,,396.2976,1
1,29,2,423,3,2,44,2,6,2002,1,4,21,1,95,88,1,513,30,2,,,88,8888,1,30000,1,1,20000,2,,396.2976,1
1,29,2,425,3,2,25,1,1,2001,1,7,21,1,82,36,1,913,20,2,,,1,2004,1,48000,1,2,,2,,396.2976,1
1,29,2,436,3,2,43,2,6,2002,1,7,522,1,39,88,1,913,60,2,,,88,8888,1,15000,1,1,20000,2,,396.2961,1
1,29,2,442,3,1,26,1,8,2001,1,4,832,3,47,88,1,913,14,2,,,88,8888,1,16000,4,2,,2,,396.2961,1
1,29,1,256,2,2,40,1,3,2002,2,4,21,1,51,36,1,522,6,2,,,3,2005,1,24000,1,2,,1,11500,190.8758,1
1,29,2,510,3,2,29,1,5,1998,1,5,921,1,82,24,1,913,23,1,4,2000,,,2,,,2,,2,,396.2966,2
1,29,1,344,3,2,31,1,6,2002,2,6,21,4,32,88,1,913,3,2,,,88,8888,2,,,2,,2,,190.8758,1
1,29,1,346,3,2,43,5,4,2002,2,7,223,1,81,18,1,223,53,2,,,10,2002,1,51000,1,2,,2,,190.8758,1
1,29,1,266,3,2,31,1,10,2001,1,2,921,3,47,88,1,913,11,2,,,88,8888,1,20000,4,2,,2,,190.8759,1
1,29,1,266,3,2,26,1,12,1998,1,2,21,3,47,88,1,913,46,2,,,88,8888,1,18000,4,2,,2,,190.8759,1
1,29,1,268,2,2,48,2,3,2001,2,6,21,3,47,88,1,913,37,2,,,88,8888,1,60000,4,2,,2,,190.8759,1
1,29,1,268,3,2,18,1,2,2002,1,4,23,3,47,88,1,913,7,2,,,88,8888,1,12000,1,2,,2,,190.8759,1
1,29,1,269,2,2,46,2,9,2000,2,6,21,3,47,18,1,913,36,1,3,2002,,,1,60000,1,2,,2,,190.8759,2
1,29,1,274,3,1,36,2,3,2002,2,4,611,3,47,88,1,913,60,2,,,88,8888,1,18000,4,2,,2,,190.8759,1
1,29,1,274,3,2,36,2,3,2002,2,4,21,3,47,88,1,913,58,2,,,88,8888,1,18000,4,2,,2,,190.8759,1
1,29,1,274,4,1,35,2,2,2002,2,7,21,3,47,88,1,913,58,2,,,88,8888,1,30000,4,2,,2,,190.8759,1
1,29,1,274,3,2,35,2,3,2002,2,4,21,3,47,88,1,913,58,2,,,88,8888,1,18000,4,2,,2,,190.8759,1
1,29,2,603,2,2,38,1,5,2000,2,7,21,1,82,36,1,913,29,2,,,4,2003,1,22000,1,2,,2,,396.2952,1
