REGN,PROV,URB,HHCN,REL,SEX,AGE,TLEFT,MDTLEFT,YDTLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,MDTRET,YDTRET,MDTEXP,YDTEXP,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT
1,29,1,244,3,1,25,1,7,2001,2,7,23,6,96,88,1,222,2,2,,,88,8888,1,10000,4,2,,2,,182.2852
1,29,1,247,2,2,30,2,5,2001,2,4,21,1,39,24,1,913,26,2,,,5,2003,1,3000,1,1,10000,1,5000,182.2852
1,29,1,257,6,2,43,1,10,1999,3,4,913,3,96,60,1,913,24,2,,,10,2004,1,30000,1,2,,1,18000,182.2849
1,29,1,271,2,2,40,2,5,2000,2,3,21,1,47,88,1,913,60,2,,,88,8888,1,60000,1,2,,2,,182.2851
1,29,1,271,3,2,21,2,5,2000,1,4,21,1,47,88,1,913,36,2,,,88,8888,2,,,2,,2,,182.2851
1,29,1,276,3,2,19,1,7,1999,1,6,21,1,47,88,1,913,26,2,,,88,8888,1,9000,1,2,,2,,182.2851
1,29,1,276,3,1,30,2,2,2001,2,4,23,1,47,88,1,913,36,2,,,88,8888,1,14000,1,2,,2,,182.2851
1,29,1,276,4,2,30,2,2,2001,2,4,21,1,47,88,1,913,36,2,,,88,8888,1,10000,1,2,,2,,182.2851
1,29,1,281,3,2,29,2,3,2001,1,6,513,1,82,24,1,913,30,2,,,3,2003,2,,,2,,2,,182.2852
1,29,1,282,1,1,47,2,7,1999,2,7,21,1,81,24,1,724,60,2,,,3,2002,1,90000,1,2,,2,,182.2852
1,29,1,298,6,2,38,2,12,2000,1,7,21,1,82,48,1,913,60,2,,,12,2004,1,2000,1,2,,2,,182.2851
1,29,1,308,1,1,46,2,6,2001,2,4,741,1,81,24,1,832,60,2,,,6,2003,1,27000,4,1,45000,2,,182.2851
1,29,1,321,2,2,40,1,1,1998,2,6,113,1,46,88,1,913,45,2,,,88,8888,1,4000,4,2,,2,,182.2851
1,29,1,323,3,2,32,1,2,1999,1,7,522,1,46,88,1,913,31,2,,,88,8888,1,6000,4,2,,2,,182.2851
1,29,1,328,3,1,29,1,3,2001,2,7,23,4,81,88,1,827,6,2,,,88,8888,2,,,2,,2,,194.9252
1,29,1,329,3,2,28,2,9,2001,1,7,23,1,39,24,1,913,48,2,,,9,2003,1,20000,1,1,40000,2,,194.9252
1,29,1,329,3,2,25,1,5,2000,1,7,21,1,39,36,1,913,16,2,,,5,2003,1,30000,1,2,,2,,194.9252
1,29,1,332,2,2,31,1,5,1999,2,7,21,1,82,36,1,913,28,2,,,5,2002,1,45000,1,2,,2,,194.9252
1,29,1,334,6,2,50,4,4,2000,3,4,21,1,39,36,1,913,48,2,,,4,2003,1,60000,1,2,,2,,194.9252
1,29,1,336,2,1,51,3,9,2001,2,7,23,1,56,36,1,931,40,2,,,9,2004,1,34000,1,1,30000,2,,194.9252
1,29,1,339,7,2,43,2,1,1999,2,4,522,1,51,36,1,522,40,2,,,1,2002,1,4000,5,2,,2,,182.2849
1,29,1,340,3,2,25,2,1,2000,1,7,422,1,39,24,1,913,33,2,,,1,2002,1,18000,1,2,,2,,182.2849
1,29,1,341,3,1,30,1,7,2000,1,4,832,1,89,24,1,733,14,2,,,7,2002,1,20000,4,2,,1,1500,182.2849
1,29,1,352,3,2,26,1,5,1998,1,7,522,1,46,48,1,913,40,2,,,5,2002,1,30000,4,2,,2,,182.2853
1,29,1,372,3,1,22,1,9,2001,2,4,931,1,81,88,1,931,0,2,,,88,8888,2,,,2,,2,,183.1678
