RREG,HHNUM,RRPL,RSTR,RPSU,RROTATION,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18M_DTRET,RQ18Y_DTRET,RQ19_REASON,RQ20M_DTEXP,RQ20Y_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
01,0001,1,21125,00010,26,09,03,1,31,01,07,2012,1,67,223,1,1,213,30,1,829,26,2,,,,01,2015,1,0060000,1,1,100,,,,,,,,,2,,2,,000545.8465,1
01,0002,2,22128,00017,26,02,02,2,43,02,02,2014,2,67,223,1,1,233,24,1,223,60,2,,,,02,2016,1,0025000,1,1,050,2,050,,,,,,,2,,2,,000308.4020,1
01,0003,2,22128,00017,26,03,03,1,26,01,08,2014,1,04,832,1,1,233,24,1,832,01,2,,,,08,2016,2,,,,,,,,,,,,,2,,2,,000366.4249,1
01,0004,2,22128,00017,26,02,02,2,33,01,12,2012,2,04,021,1,1,235,24,1,913,21,2,,,,12,2014,1,0008000,4,1,070,2,030,,,,,,,2,,2,,000356.1145,1
01,0005,3,21331,00020,23,02,05,1,38,02,04,2013,2,68,023,1,2,400,24,1,723,40,2,,,,04,2015,1,0080500,1,1,050,,,3,050,,,,,2,,2,,000494.6239,1
01,0006,2,21117,00021,26,02,02,2,39,01,08,2014,2,06,921,1,1,222,24,1,913,01,2,,,,08,2016,1,0006000,5,1,100,,,,,,,,,2,,2,,000459.4124,1
01,0007,2,21117,00021,26,02,02,2,37,01,12,2013,2,04,913,1,1,222,24,1,913,09,2,,,,12,2015,1,0025000,4,1,095,,,3,005,,,,,2,,2,,000459.4124,1
01,0008,3,22214,00032,23,03,03,2,24,01,05,2014,1,67,223,1,1,233,24,1,223,04,2,,,,05,2016,1,0010000,1,1,100,,,,,,,,,2,,2,,000482.5835,1
01,0009,3,22214,00032,23,02,02,2,47,02,12,2012,2,04,021,1,1,211,24,1,913,58,2,,,,12,2014,1,0018000,1,1,100,,,,,,,,,2,,1,0003000,000423.7215,1
01,0009,3,22214,00032,23,03,03,2,28,01,08,2013,1,67,222,1,1,233,24,1,222,13,2,,,,08,2015,1,0054000,1,1,010,2,090,,,,,,,2,,2,,000533.7198,1
01,0010,3,22214,00032,23,03,03,2,30,02,04,2012,2,68,021,1,1,234,31,1,421,29,2,,,,11,2014,1,0025000,1,1,100,,,,,,,,,2,,2,,000533.7198,1
01,0011,3,22214,00032,23,03,03,2,29,01,08,2014,1,68,021,1,1,211,24,1,913,01,2,,,,08,2016,2,,,,,,,,,,,,,2,,2,,000533.7198,1
01,0012,1,22104,00042,26,04,03,1,30,01,10,2013,1,55,512,1,1,233,24,1,724,11,2,,,,10,2015,1,0030000,4,1,100,,,,,,,,,2,,2,,000547.9251,1
01,0013,1,22205,00044,26,02,02,2,34,02,05,2014,2,04,021,1,1,221,24,1,913,33,2,,,,05,2016,1,0010000,4,1,080,,,3,020,,,,,2,,2,,000426.8700,1
01,0014,1,22205,00044,26,02,02,2,45,02,04,2013,2,04,021,1,1,211,32,1,913,21,2,,,,12,2015,1,0023500,4,1,060,,,3,040,,,,,2,,2,,000338.8932,1
