REGN,PROV,URB,HHCN,REL,SEX,AGE,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,OCUP,SWORK,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,29,2,418,4,2,28,2,97,2,3,Z20,1,57,541,297,2,,,88,8888,2,,,,2,,391.5231
1,29,2,480,6,2,56,12,96,1,6,135,3,47,541,1296,2,,,88,8888,1,12000,3,,1,500,391.5244
1,29,2,488,3,2,24,6,96,1,6,Z20,1,89,853,295,2,,,6,1997,2,,,,2,,391.5197
1,29,2,489,2,2,27,2,96,2,5,Z20,1,39,541,295,2,,,6,1997,1,18000,1,,2,,391.5197
1,29,2,490,3,2,30,2,97,1,3,Z20,1,9,532,1287,2,,,2,1999,2,,,,2,,391.5197
1,29,1,243,3,2,27,12,96,1,6,Z20,1,39,541,1194,2,,,10,1998,1,5000,5,,1,1000,188.577
1,29,1,243,4,2,34,12,95,2,5,Z20,1,39,541,890,2,,,88,8888,2,,,,2,,188.577
1,29,1,243,3,2,30,12,95,2,6,Z20,1,39,541,893,2,,,10,1997,1,15000,1,,1,1000,188.577
1,29,2,423,2,1,29,11,96,2,4,611,1,999,641,1196,2,,,6,1998,1,5000,2,,2,,427.1175
1,29,2,424,3,2,28,10,93,1,3,Z20,1,82,541,1093,2,,,12,1997,1,5000,4,,2,,427.1175
1,29,2,432,3,2,35,6,95,1,6,Z30,1,47,541,9993,2,,,12,1997,1,12000,1,,2,,427.1175
1,29,2,432,3,2,27,4,95,1,6,Z30,1,47,541,495,2,,,12,1997,1,12000,1,,2,,427.1175
1,29,2,432,3,2,25,6,95,1,5,Z30,1,47,541,992,2,,,12,1997,1,12000,1,,2,,427.1175
1,29,2,434,2,2,38,99,99,2,5,Z20,1,18,541,9999,2,,,88,8888,1,5250,1,,2,,469.8274
1,29,2,439,1,1,38,5,95,2,7,981,1,96,981,9999,1,3,97,,,1,10500,1,39475,2,,469.8274
1,29,2,442,3,2,27,11,93,1,5,Z20,1,57,541,1193,1,3,97,,,1,5250,1,25000,2,,469.8274
1,29,1,258,1,1,32,2,96,2,4,846,1,89,859,296,1,3,97,,,1,35000,1,10000,1,31060,188.5768
1,29,1,271,2,2,38,2,97,3,4,Z20,1,47,541,9999,1,2,97,,,1,10500,1,52500,2,,188.5769
1,29,2,593,2,2,32,12,95,2,4,Z20,1,81,541,1295,2,,,88,8888,1,3000,1,,2,,391.5234
1,29,2,595,2,2,28,3,95,2,4,Z20,1,81,541,395,2,,,8,1997,1,16500,1,,2,,391.5234
1,29,2,598,2,2,38,1,97,2,4,Z20,1,81,541,993,2,,,88,8888,2,,,,2,,391.5234
1,29,2,606,2,1,37,9,92,2,4,959,1,81,959,992,2,,,88,8888,1,18750,1,,2,,391.5253
1,29,2,528,2,2,40,6,95,2,2,Z20,1,78,541,695,2,,,11,1997,1,5000,1,,2,,391.5229
1,29,1,354,2,2,30,1,97,2,5,Z20,1,82,541,794,1,3,97,,,1,6000,4,5000,2,,188.5771
1,29,2,462,3,1,22,7,93,1,4,621,1,81,532,793,1,12,96,,,2,,,60000,1,3000,391.5225
1,29,2,463,3,2,32,3,92,1,6,621,1,18,549,392,2,,,88,8888,1,3000,3,,2,,391.5225
1,29,2,466,3,1,28,12,95,2,4,611,1,81,532,1192,2,,,12,1997,1,19000,2,,2,,391.5225
1,29,1,376,3,2,25,10,96,1,6,Z20,1,89,541,1096,2,,,10,1997,2,,,,2,,188.5769
1,29,1,377,3,2,40,7,96,2,3,Z20,1,51,541,796,2,,,7,1998,1,1000,1,,2,,188.5769
1,29,1,378,3,2,29,12,96,1,4,Z20,1,15,541,1296,2,,,12,1997,1,10000,1,,2,,188.5769
1,29,1,382,3,1,27,3,96,1,4,872,1,89,872,396,2,,,88,8888,2,,,,2,,188.5769
1,29,1,383,3,2,24,9,96,1,5,Z20,1,82,541,996,2,,,88,8888,1,1500,5,,2,,188.5769
1,29,2,614,3,2,27,11,96,1,5,Z30,1,39,541,1196,2,,,11,1998,1,6500,3,,2,,391.5228
1,29,2,614,3,1,25,5,95,2,4,611,1,81,552,595,2,,,12,1997,2,,,,2,,391.5228
1,29,1,290,3,2,38,2,93,1,6,Z20,1,81,66,286,1,2,97,,,1,26250,1,,1,1000,188.5769
1,29,1,292,6,2,39,4,90,2,6,134,1,47,541,9990,2,,,5,1997,1,31500,1,,2,,188.5769
1,29,1,297,3,2,26,3,97,1,2,Z20,1,82,541,9999,2,,,88,8888,2,,,,2,,188.5769
1,29,1,311,2,1,30,7,95,2,5,852,1,81,852,793,2,,,12,1997,1,9187,1,,2,,188.5769
