REGN,PROV,URB,HHCN,REL,SEX,AGE,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,OCUP,SWORK,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
3,69,2,3380,3,1,51,6,95,3,6,Z40,1,47,541,695,2,,,7,1997,1,5544,4,,2,,225.1927
3,69,2,3394,4,2,27,6,96,2,6,Z20,1,39,541,696,2,,,88,8888,1,35000,4,,1,5000,225.1927
3,69,2,3420,2,1,62,1,96,2,4,791,1,81,871,9980,2,,,12,1997,1,4000,4,,2,,225.1927
3,69,1,3112,3,2,39,8,96,2,6,322,1,80,381,190,2,,,12,1997,1,24000,4,,2,,122.2461
3,69,1,3119,1,1,32,2,97,2,4,776,1,81,776,788,2,,,88,8888,1,7000,1,20000,1,14000,122.2461
3,69,1,3102,3,1,28,11,94,1,1,552,1,50,949,1194,2,,,88,8888,1,16000,1,,2,,133.3593
3,69,1,3107,1,1,37,1,93,2,5,985,1,81,846,193,2,,,12,1997,1,45000,1,,2,,133.3593
3,69,1,3124,2,2,32,2,92,2,4,Z30,3,18,Z20,392,2,,,6,1997,1,16000,4,,2,,122.2461
3,69,1,3126,2,2,38,8,96,2,4,799,1,89,799,896,2,,,8,1998,1,28000,1,,2,,122.2461
3,69,1,3128,3,2,23,6,95,1,4,949,1,89,949,895,2,,,6,1997,1,34000,1,,2,,122.2461
3,69,1,3128,4,1,32,10,91,2,5,452,1,81,846,1091,2,,,7,1997,1,37000,1,,1,4460,122.2461
3,69,1,3132,3,2,31,8,96,1,4,512,1,89,560,896,2,,,88,8888,1,33000,4,,2,,122.2461
3,69,2,3428,1,1,38,11,96,2,5,846,1,81,846,1196,2,,,6,1997,1,4000,1,,2,,225.1926
3,69,2,3439,2,2,35,8,96,2,4,Z30,1,51,541,896,2,,,88,8888,1,30000,4,,2,,225.1927
3,69,1,3146,1,1,50,6,95,2,3,846,1,81,846,1293,1,11,96,,,2,,,39000,1,10900,122.2461
3,69,1,3154,1,2,53,3,96,3,6,139,1,39,451,592,2,,,4,1997,1,20000,1,,1,4260,122.2461
3,69,1,3185,3,1,26,8,96,3,6,Z90,1,51,749,197,2,,,8,1998,2,,,,2,,122.2461
3,69,1,3185,1,1,52,7,96,2,6,700,1,51,599,796,2,,,10,1997,1,30000,4,,2,,122.2461
3,69,2,3475,2,2,36,4,95,2,6,542,1,15,541,495,2,,,5,1997,1,36000,4,,2,,225.1926
3,69,2,3486,1,1,38,7,96,2,5,855,1,81,855,691,2,,,9,1998,1,6000,4,,2,,225.1927
3,69,2,3503,3,2,24,12,93,1,6,66,1,47,541,1293,2,,,12,1997,1,10000,1,,2,,247.7118
3,71,1,3532,1,1,35,1,92,2,3,959,1,15,959,192,2,,,88,8888,2,,,,2,,225.3453
3,71,1,3534,1,1,50,7,96,2,5,931,1,81,931,587,2,,,7,1998,1,30000,4,,2,,225.3453
3,71,1,3541,2,1,37,2,96,2,5,985,1,81,599,1191,2,,,12,1997,1,31200,1,,2,,245.8311
3,71,1,3548,2,1,56,12,96,2,6,25,1,81,25,1296,2,,,12,1998,1,12000,4,,2,,245.8311
3,71,1,3549,1,1,29,7,96,2,5,839,1,15,855,593,1,12,96,,,1,10000,1,3500,2,,245.8311
3,71,1,3551,2,1,61,2,97,2,5,848,1,81,949,9981,2,,,12,1999,2,,,,2,,245.8311
3,71,1,3557,2,1,30,10,96,2,5,Z90,1,52,855,1096,2,,,5,1997,1,1500,4,,2,,225.3453
3,71,1,3563,3,2,33,1,91,2,4,Z20,1,39,541,191,1,10,96,,,1,17500,4,999999,2,,225.3453
3,71,1,3576,4,2,41,7,96,2,6,66,1,81,66,9987,2,,,5,1997,2,,,,2,,225.3451
3,71,1,3585,4,1,37,2,97,2,5,985,1,96,985,393,2,,,2,1998,1,9360,1,,1,5980,225.3451
3,71,2,3837,6,2,36,4,96,4,4,Z20,1,51,541,696,2,,,4,1998,2,,,,2,,685.0158
3,71,1,3653,3,1,31,1,96,1,4,985,1,999,700,9989,2,,,7,1997,1,48000,1,,2,,372.2132
3,71,1,3656,2,1,32,8,96,2,4,985,1,94,972,791,2,,,4,1998,1,46000,4,,2,,372.2132
3,71,1,3663,3,2,30,3,96,1,6,386,1,18,549,1295,2,,,3,1998,1,4000,1,,2,,372.2135
3,71,1,3674,2,1,36,8,95,2,5,54,1,81,54,895,2,,,7,1997,1,42000,4,,2,,465.2666
3,71,1,3684,3,1,25,3,96,1,5,Z90,1,89,949,396,2,,,3,1998,1,36000,4,,2,,465.2666
3,71,1,3687,2,1,38,1,95,2,4,532,1,96,649,195,2,,,10,1997,1,30000,4,,1,6500,409.4346
3,71,1,3709,3,2,20,10,96,1,4,Z30,3,52,172,695,2,,,88,8888,1,37193,2,,2,,372.2133
3,71,1,3712,1,1,38,11,94,2,4,985,1,81,979,1194,1,1,97,,,1,18000,2,20000,1,15000,372.2133
3,71,1,3733,3,2,30,12,96,2,1,Z20,2,52,389,9994,2,,,12,1997,1,42915,1,,1,10000,372.2133
3,71,1,3738,2,2,35,11,95,2,5,311,1,39,541,991,1,3,97,,,1,15000,1,,1,16000,372.2133
3,71,1,3752,1,1,45,3,96,2,3,985,1,999,981,9976,1,11,96,,,1,16016,1,2600,2,,372.2133
3,71,1,3753,2,1,40,12,96,2,4,Z90,1,999,981,9979,1,1,97,,,1,15600,1,,1,1300,372.2133
3,71,1,3758,3,1,23,2,95,1,4,859,1,81,855,295,2,,,2,1998,1,31200,4,,2,,406.0508
3,71,1,3758,3,2,27,1,96,1,6,139,1,39,541,295,1,2,97,,,1,15000,4,,2,,406.0508
3,71,1,3761,2,1,40,2,96,2,5,939,1,81,599,692,1,12,96,,,1,15000,1,13000,1,15000,406.0508
3,71,1,3763,2,2,46,5,93,2,4,Z90,1,47,541,593,2,,,88,8888,1,30000,4,,2,,406.0508
3,71,1,3774,3,1,30,7,96,1,5,599,1,81,311,792,2,,,12,1997,1,40000,1,,2,,372.2132
3,71,1,3777,2,1,40,2,97,2,5,581,1,52,981,1095,2,,,12,1997,2,,,,2,,372.2132
3,71,1,3605,2,2,33,99,99,2,5,412,2,39,541,9999,2,,,88,8888,1,27000,4,,2,,270.4143
3,71,1,3609,2,1,38,2,97,2,6,Z90,1,81,700,296,2,,,2,1998,1,36200,1,,1,20000,270.4143
3,71,1,3622,2,2,41,8,94,2,5,Z20,1,35,541,894,2,,,88,8888,2,,,,1,2500,225.3451
3,71,2,3857,2,1,42,12,91,2,4,619,1,80,951,192,2,,,88,8888,1,19000,4,,2,,747.2899
3,71,2,3862,4,1,33,99,99,1,4,954,1,80,954,9999,2,,,5,1997,1,9000,4,,1,10700,747.2899
3,71,2,3864,5,1,27,12,95,1,5,700,1,89,853,196,2,,,12,1997,2,,,,2,,747.2899
3,71,2,3796,3,1,28,12,96,1,6,322,1,81,111,1296,2,,,12,1998,1,8000,4,,2,,747.2896
3,71,2,3801,2,1,34,3,97,2,4,985,1,89,382,397,2,,,3,2000,2,,,,2,,747.2896
3,71,2,3804,2,1,45,5,96,2,4,871,1,81,871,596,2,,,6,1997,1,33800,4,,2,,747.2896
3,71,2,3804,3,1,25,5,96,1,5,Z90,1,81,531,596,2,,,6,1997,2,,,,2,,747.2896
3,71,1,3511,2,1,40,10,96,2,6,23,1,81,29,1096,2,,,9,1997,1,20800,1,,2,,245.8311
4,10,2,506,2,1,35,9,96,2,6,Z90,1,52,981,884,2,,,6,1997,1,36000,1,,2,,652.3131
4,10,2,508,2,2,26,12,96,2,4,Z20,1,39,541,1296,2,,,11,1997,1,5000,4,,2,,652.3131
4,10,2,516,3,2,99,1,97,1,5,67,1,39,541,293,2,,,12,1997,1,9000,4,60000,2,,652.3131
4,10,2,566,3,2,30,7,95,1,6,794,1,39,311,392,2,,,7,1997,1,25000,2,,2,,652.3114
4,10,2,567,3,1,22,8,96,1,5,412,1,89,949,896,2,,,8,1998,1,20000,1,,2,,652.3114
4,10,1,3,4,1,33,5,95,2,5,532,1,94,532,793,2,,,5,1997,1,45000,1,,2,,676.0366
4,10,1,5,3,2,28,12,96,1,5,Z90,1,89,541,1296,2,,,12,1997,1,25000,1,,2,,676.0366
4,10,2,439,4,1,30,1,97,2,6,441,1,81,218,191,2,,,10,1997,2,,,25600,2,,652.3151
4,10,2,443,2,2,29,1,96,2,3,Z20,1,89,541,196,2,,,88,8888,1,6000,4,,2,,652.3151
4,10,1,152,2,1,38,1,97,2,6,Z90,1,94,981,891,2,,,12,1997,1,17000,1,50000,1,13000,215.947
4,10,2,683,3,2,32,3,92,1,5,755,1,82,541,392,2,,,5,1997,1,7000,1,,1,300,150.9861
4,10,1,163,2,1,32,2,97,2,3,985,1,63,972,297,2,,,8,1997,2,,,,2,,215.9472
4,10,1,167,2,1,41,12,95,2,4,801,1,5,871,1295,2,,,12,1997,1,60000,4,,1,2650,215.9472
4,10,1,169,4,1,32,3,97,2,5,871,1,78,871,397,2,,,4,1998,2,,,,2,,215.947
4,10,1,176,2,1,35,1,96,2,5,872,1,4,872,589,1,11,96,,,1,10000,1,100000,2,,215.947
4,10,1,212,2,2,44,1,97,2,6,66,1,81,66,590,2,,,12,1998,1,10000,1,75000,2,,215.9472
4,10,1,213,2,2,45,12,96,2,2,51,1,89,541,1296,2,,,12,1998,1,10000,1,,2,,215.9472
4,10,2,707,2,1,45,9,96,2,5,531,1,10,531,996,2,,,9,1998,1,4000,1,,2,,150.9861
4,10,1,219,1,1,38,6,96,2,5,959,1,89,959,696,2,,,6,1997,1,92000,1,,1,11200,215.947
4,10,1,222,3,1,26,7,96,1,4,831,1,89,831,796,2,,,7,1997,1,41000,1,,2,,215.947
4,10,1,225,4,1,38,1,97,2,6,22,1,57,162,593,2,,,7,1997,1,150000,1,,1,19000,215.947
4,10,2,719,3,1,25,2,97,1,5,X10,1,1,981,297,2,,,88,8888,1,3000,1,,2,,150.9861
4,10,1,236,3,2,24,12,96,2,1,Z20,1,15,549,1194,2,,,11,1997,2,,,2000,2,,215.9472
4,10,1,239,1,1,30,3,97,2,3,959,1,89,999,397,2,,,3,1998,2,,,,2,,215.9472
4,10,1,240,2,1,32,1,97,2,6,425,1,89,871,197,2,,,1,1998,2,,,,2,,215.9472
4,10,1,241,6,2,29,1,97,2,5,451,1,47,541,197,2,,,12,1999,1,10000,1,,2,,215.9473
4,10,1,245,2,1,40,7,96,2,5,855,1,81,855,283,2,,,7,1998,1,15000,1,,2,,215.9473
4,10,1,250,2,1,55,2,97,2,1,981,1,81,981,392,2,,,12,1997,2,,,,2,,215.9473
4,10,2,731,3,2,27,2,96,1,6,66,1,81,66,296,2,,,2,1998,1,12000,1,,1,13000,150.9861
4,10,2,739,2,1,41,8,95,2,2,959,2,84,641,895,2,,,88,8888,2,,,,2,,150.9861
4,10,1,260,2,2,32,2,95,2,6,Z20,1,10,163,295,2,,,6,1997,1,1000,1,,1,300,215.9472
4,10,2,745,2,2,39,3,97,2,2,Z20,2,47,541,9991,2,,,2,1999,2,,,,2,,150.9861
4,10,2,753,2,1,27,3,96,2,4,872,1,82,872,396,2,,,88,8888,1,60000,1,,1,500,150.9861
4,10,1,265,1,1,42,10,95,2,5,32,1,89,32,1095,1,10,96,,,2,,,52000,2,,215.9472
4,10,1,267,2,1,25,12,95,2,5,855,1,81,855,1295,2,,,12,1997,1,19000,4,,2,,215.9472
4,10,1,53,4,1,35,3,97,2,5,871,1,81,871,397,2,,,3,1998,2,,,,2,,676.0359
4,10,1,55,2,1,33,8,96,2,4,872,1,81,872,896,2,,,8,1997,1,60000,1,,2,,676.0359
4,10,1,58,2,1,33,8,96,2,4,872,1,81,872,896,2,,,8,1997,1,60000,1,,2,,676.0359
4,10,1,58,1,1,35,4,96,2,4,872,1,81,872,496,2,,,4,1997,1,51000,4,,1,15000,676.0359
4,10,1,61,3,2,35,9,96,1,6,Z90,1,47,541,996,2,,,88,8888,1,39000,4,,2,,676.037
4,10,1,63,6,2,45,12,95,2,4,Z20,1,47,541,9993,2,,,88,8888,1,60000,4,,2,,676.037
4,10,1,63,6,1,46,8,96,2,5,616,1,81,551,9999,2,,,8,1997,1,60000,1,,2,,676.037
4,10,1,65,2,1,42,10,96,2,4,931,1,81,931,9988,2,,,10,1997,1,40000,1,,2,,676.037
4,10,2,449,2,1,34,3,97,2,5,872,1,65,700,397,2,,,88,8888,2,,,,2,,652.3137
4,10,2,530,3,1,25,1,97,1,6,23,1,81,23,197,2,,,1,1999,2,,,,2,,652.3141
4,10,2,536,3,2,23,1,96,1,3,451,1,51,541,196,2,,,2,1998,1,17000,4,,2,,652.3141
4,10,2,540,3,2,36,1,97,1,5,67,1,47,386,683,2,,,12,1998,2,,,,2,,652.3141
4,10,2,540,3,2,32,1,97,1,6,386,1,47,549,987,2,,,12,1998,1,10000,4,,2,,652.3141
4,10,2,540,1,1,30,1,97,2,5,31,1,47,219,1089,2,,,12,1998,2,,,,2,,652.3141
4,10,2,540,4,2,26,1,97,2,4,Z20,1,47,451,1189,2,,,12,1998,2,,,,2,,652.3141
4,10,2,517,4,1,38,5,96,2,4,611,1,89,749,596,2,,,88,8888,1,16000,4,,2,,652.3129
4,10,2,521,2,1,29,1,96,2,3,611,1,52,749,196,2,,,88,8888,1,23000,4,,2,,652.3129
4,10,1,33,2,1,27,2,97,2,6,Z90,1,64,981,1190,2,,,11,1997,1,48000,1,,1,9110,676.0362
4,10,1,34,2,1,55,1,96,2,4,412,1,81,700,1196,2,,,12,1998,1,24500,4,,1,19925,676.0362
4,10,1,36,3,1,23,99,99,1,5,532,1,78,532,494,2,,,3,1999,1,30000,4,26000,1,16405,676.0362
4,10,2,472,3,2,27,5,95,1,4,Z90,1,47,541,595,2,,,5,1998,1,180000,3,,2,,711.6143
4,10,2,479,3,2,21,3,97,4,5,Z20,1,47,541,387,2,,,88,8888,2,,,,2,,711.6143
4,10,2,774,2,1,45,5,94,2,4,880,1,81,880,594,2,,,88,8888,1,18000,4,,2,,108.5796
4,10,1,293,2,1,52,2,96,2,5,872,1,81,700,296,2,,,88,8888,1,20000,4,,2,,162.7932
4,10,1,306,1,1,44,12,96,2,2,713,1,81,713,1281,2,,,12,1998,1,15000,4,,2,,162.7933
4,10,1,312,2,2,47,6,94,2,3,794,2,96,794,694,2,,,88,8888,1,19500,1,,1,1400,162.7933
4,10,1,312,1,1,57,3,95,2,2,551,1,96,532,792,2,,,88,8888,1,19500,1,,1,9380,162.7933
4,10,1,319,4,1,46,3,87,2,6,624,1,96,846,387,2,,,88,8888,1,30000,4,,2,,162.7933
4,10,1,321,2,1,33,9,94,2,5,959,1,81,959,994,2,,,10,1997,1,10000,4,,1,1300,162.7933
4,10,1,324,4,1,32,11,96,2,6,Z90,1,52,43,1196,2,,,11,1997,1,15000,1,,2,,162.7933
4,10,2,793,1,2,30,10,95,2,4,985,1,81,532,895,2,,,8,1998,1,24000,4,,1,10000,108.5797
4,10,2,793,6,2,30,1,97,2,4,Z90,1,33,541,197,2,,,1,1999,1,14000,1,,2,,108.5797
4,10,2,809,4,2,35,2,97,2,6,Z90,1,999,21,297,2,,,2,1999,1,17000,1,,2,,108.5796
4,10,1,333,3,2,25,3,97,1,4,700,5,52,X10,396,2,,,88,8888,2,,,25000,1,3500,162.7933
4,10,2,821,3,1,30,11,93,1,3,Z30,3,47,551,1194,2,,,88,8888,1,10000,1,,1,5500,108.5796
4,10,2,832,2,1,43,8,96,2,3,985,1,81,985,692,2,,,88,8888,1,15000,1,,2,,108.5796
4,10,1,382,3,2,34,11,96,1,5,Z30,1,47,541,987,2,,,88,8888,1,8000,1,,2,,162.7934
4,10,1,391,3,1,22,8,96,1,6,532,1,89,946,896,2,,,8,1997,1,10000,1,,2,,162.7933
4,10,1,392,1,2,46,5,95,3,4,Z20,1,46,541,595,2,,,9,1997,1,46800,3,,1,24000,162.7933
4,10,2,852,2,1,53,3,97,2,6,Z90,2,66,981,389,2,,,3,1998,1,7825,3,,2,,108.5797
4,10,1,397,3,2,23,7,93,1,5,752,1,81,311,793,1,10,96,,,2,,,25000,1,89500,162.7933
4,10,1,409,2,1,28,5,96,2,2,985,1,52,872,593,2,,,5,1998,1,35000,1,,1,24000,162.7933
4,10,2,858,2,1,28,3,96,2,6,452,1,10,959,396,2,,,88,8888,1,4000,4,,2,,108.5796
4,10,1,423,2,1,33,1,97,2,5,846,3,96,846,490,2,,,12,1998,1,85000,3,80000,1,14800,162.7933
4,10,1,432,4,2,32,5,96,2,4,Z20,1,81,541,394,2,,,5,1998,1,42000,1,,2,,162.7933
4,10,2,547,3,2,47,11,95,3,2,Z20,1,47,541,9986,1,10,96,,,2,,,30000,1,30000,652.3127
4,10,1,20,2,1,26,4,96,2,5,Z90,1,82,852,496,2,,,4,1998,1,57000,3,,1,6000,676.0356
4,10,1,99,3,2,23,3,97,1,6,79,1,81,79,397,2,,,3,1999,2,,,,2,,676.0361
4,10,2,579,2,1,35,3,91,2,5,617,1,52,949,292,2,,,88,8888,1,20000,4,,2,,652.3147
4,10,2,582,2,2,50,12,96,2,5,67,1,33,66,1073,2,,,12,1997,1,10000,4,,1,1800,652.3147
4,10,2,591,2,1,51,8,96,2,5,531,1,39,981,890,2,,,8,1997,1,3500,1,,2,,652.3154
4,10,2,602,3,1,25,12,96,1,5,611,1,89,949,1196,2,,,12,1998,1,10000,1,,2,,652.3126
4,10,2,605,3,2,22,10,95,1,6,311,1,89,949,1095,2,,,10,1997,1,45000,4,,2,,652.3126
4,10,1,75,2,1,43,4,96,2,5,Z90,1,52,981,9978,1,10,96,,,1,20000,1,25000,2,,826.2665
4,10,2,613,4,1,30,1,97,1,6,949,1,81,421,292,2,,,88,8888,1,10000,1,,1,20350,652.3141
4,10,1,90,2,1,35,2,97,2,5,31,1,89,972,297,2,,,2,1998,1,13000,1,,2,,676.0364
4,10,1,94,2,1,29,7,94,2,5,985,1,81,541,794,2,,,88,8888,1,10000,4,,2,,676.0364
4,10,2,650,2,1,44,12,96,2,5,Z90,1,56,981,1296,2,,,5,1997,1,24000,1,,2,,652.3144
4,10,2,659,3,1,36,3,95,1,5,Z90,1,96,981,395,2,,,5,1997,1,27000,1,,2,,652.3144
4,10,2,659,3,1,34,10,96,1,5,Z90,1,999,981,1096,2,,,10,1997,1,15000,1,,2,,652.3144
4,10,2,668,4,1,34,10,92,2,5,794,1,50,794,193,2,,,12,1997,1,5000,4,,2,,652.3134
4,10,2,670,2,2,34,11,96,2,4,425,2,47,541,1196,2,,,88,8888,1,16000,3,,2,,652.3134
4,10,1,117,3,1,25,6,96,1,4,611,1,81,971,294,2,,,5,1997,1,17000,4,,1,2500,676.0367
4,10,1,121,3,1,24,3,95,1,1,931,1,81,531,395,2,,,5,1997,1,24000,4,,1,21500,676.0364
4,10,1,125,3,2,28,1,95,1,4,Z20,1,95,541,195,2,,,88,8888,1,24000,4,,1,12000,676.0364
4,10,1,130,4,2,99,9,93,2,3,Z20,3,47,541,1093,2,,,5,1997,1,15000,3,,1,6000,676.0364
4,10,2,631,2,2,29,12,95,2,3,Z20,1,81,541,1295,2,,,12,1997,1,30000,1,,2,,652.3141
4,21,1,1086,3,1,42,6,96,2,4,985,1,82,552,9982,2,,,4,1997,1,65000,1,,2,,587.9621
4,21,2,1849,4,2,32,7,96,2,5,451,1,39,541,9990,2,,,12,1997,1,14000,4,,2,,788.0741
4,21,2,1850,6,1,42,5,95,4,4,X10,1,81,985,9991,2,,,6,1997,1,40000,4,,2,,788.0741
4,21,2,1855,4,1,34,5,96,2,5,985,1,81,846,9990,2,,,5,1998,1,33000,1,,2,,788.0741
4,21,2,1855,5,1,25,3,97,1,5,625,1,90,959,397,2,,,88,8888,2,,,,2,,788.0741
4,21,1,1154,2,1,41,12,96,2,5,Z90,1,96,532,1296,2,,,6,1997,2,,,,2,,198.1437
4,21,1,1160,2,1,48,11,96,2,6,Z90,1,33,532,1196,2,,,10,1997,2,,,,2,,198.1437
4,21,1,1196,3,1,27,11,96,1,4,411,1,81,532,1196,2,,,10,1998,2,,,,2,,178.3294
4,21,1,1197,2,1,47,12,96,2,5,423,1,54,532,1296,2,,,6,1997,1,30000,4,,2,,178.3294
4,21,1,1215,2,1,34,5,96,2,5,Z90,1,81,985,787,2,,,88,8888,1,30000,4,,2,,178.3293
4,21,1,1224,4,1,30,5,96,2,3,985,1,39,432,891,2,,,3,1998,1,30000,1,,2,,178.3293
4,21,1,1225,2,1,38,1,96,2,5,855,1,81,855,9987,2,,,12,1998,1,45000,1,,2,,178.3295
4,21,1,1236,2,2,48,3,96,2,4,Z20,1,81,541,288,2,,,1,1998,1,46800,1,,2,,178.3295
4,21,1,1249,2,2,44,10,95,2,5,Z20,1,39,541,1095,2,,,6,1997,1,30000,4,,2,,178.3294
4,21,1,1253,2,1,57,12,92,2,1,425,1,81,989,1295,2,,,11,1997,1,42000,4,,2,,178.3294
4,21,1,1254,3,1,39,11,96,2,5,Z90,1,81,989,1196,2,,,88,8888,1,32000,3,,2,,178.3294
4,21,1,1254,4,2,40,1,97,2,5,Z90,1,52,541,197,2,,,88,8888,2,,,,2,,178.3294
4,21,1,1280,2,1,37,3,97,2,6,Z90,1,81,79,397,2,,,88,8888,2,,,,2,,178.3294
4,21,1,1287,2,1,46,99,95,2,5,Z90,1,31,981,9977,2,,,99,1998,1,12000,2,,2,,178.3294
4,21,1,1289,2,1,39,10,96,2,3,872,1,999,872,1094,2,,,10,1997,1,54600,1,,2,,178.3294
4,21,1,1293,2,1,34,2,97,2,6,Z90,1,52,981,589,2,,,12,1997,1,32000,1,,2,,178.3294
4,21,1,1294,2,2,42,3,97,2,4,Z20,1,52,541,291,2,,,88,8888,1,32000,1,,1,6400,178.3294
4,21,1,1310,2,1,46,10,96,2,4,Z90,1,81,985,1096,2,,,88,8888,2,,,,2,,178.3295
4,21,1,1317,2,1,43,9,96,2,5,Z90,1,96,532,996,2,,,88,8888,2,,,,2,,178.3295
4,21,1,1319,2,1,41,1,96,2,6,Z90,1,81,985,196,2,,,88,8888,2,,,,2,,178.3295
4,21,1,1334,6,1,40,12,96,4,5,Z90,1,81,853,1296,2,,,88,8888,2,,,,2,,178.3294
4,21,1,1368,2,1,45,10,95,2,6,322,1,999,981,877,2,,,10,1997,1,72000,1,,2,,178.3293
4,21,1,1387,3,2,21,2,97,1,5,946,1,52,946,297,2,,,5,1997,2,,,,2,,178.3294
4,21,1,876,2,1,34,11,96,2,3,999,1,81,854,892,2,,,12,1997,1,20000,4,,2,,481.0611
4,21,1,881,2,1,56,3,97,2,3,Z90,1,81,871,1179,2,,,12,1998,1,25000,1,25000,1,5000,481.0604
4,21,1,886,2,2,29,3,96,2,4,Z20,1,81,541,1094,2,,,12,1998,1,30000,4,,2,,481.0604
4,21,1,887,2,1,51,1,95,2,2,872,1,36,855,1088,2,,,88,8888,1,24000,1,,2,,481.0604
4,21,1,906,2,1,37,99,99,2,4,Z90,1,18,951,291,1,3,97,,,1,20000,4,40000,1,7700,481.0601
4,21,1,1394,2,1,47,4,94,2,2,989,1,81,989,484,1,3,97,,,1,34000,4,350000,1,17000,97.8504
4,21,1,1421,2,1,43,5,96,2,5,855,1,81,39,683,1,3,97,,,2,,,50000,1,15000,97.8504
4,21,1,1439,2,1,28,10,96,2,2,451,1,81,74,1096,2,,,3,1998,1,42000,1,,2,,97.8504
4,21,1,1444,2,1,34,11,96,2,5,Z90,1,15,599,1092,2,,,11,1998,1,40000,1,,1,19250,97.8504
4,21,1,1445,2,2,40,1,97,2,5,Z20,1,15,541,190,2,,,12,1999,1,145000,4,,1,37200,97.8504
4,21,1,1445,3,2,21,8,96,1,6,134,1,15,311,896,2,,,12,1999,2,,,,2,,97.8504
4,21,1,1446,3,1,38,2,92,1,5,532,1,999,541,292,2,,,3,1998,1,59500,1,,1,24750,97.8504
4,21,1,1451,2,1,27,12,96,2,5,872,1,66,981,494,2,,,6,1998,1,30000,1,,1,2700,97.8504
4,21,1,1459,4,2,23,3,94,2,4,794,1,39,541,394,1,2,97,,,1,24000,1,20000,2,,97.8504
4,21,1,1460,3,2,40,1,97,1,5,859,1,39,541,589,2,,,1,1999,1,10000,4,,1,85000,97.8504
4,21,1,1460,3,1,39,2,97,1,5,931,1,70,982,392,2,,,1,1998,1,30000,1,,2,,97.8504
4,21,1,1463,3,2,26,1,97,1,6,218,1,15,218,197,2,,,12,1997,1,30000,1,,2,,97.8504
4,21,1,1465,6,1,40,1,96,2,6,799,1,81,799,388,2,,,3,1998,1,70000,4,,2,,97.8504
4,21,1,1465,2,2,37,4,96,2,6,Z20,1,94,451,592,2,,,3,1998,1,20000,1,,1,11500,97.8504
4,21,1,1475,2,1,49,1,97,2,5,531,1,96,531,1185,2,,,10,1997,1,150000,1,,2,,97.8504
4,21,1,1498,2,1,35,11,96,2,3,951,1,81,951,995,2,,,8,1997,1,21000,4,,1,6750,97.8504
4,21,1,1517,2,1,31,1,97,2,6,31,1,43,25,994,2,,,4,1997,1,20000,3,,1,1300,97.8504
4,21,1,1523,3,2,24,8,95,2,4,Z20,1,52,451,692,2,,,6,1997,1,34000,3,,1,9300,97.8504
4,21,1,1532,2,1,40,3,94,2,4,729,1,47,729,1291,1,3,97,,,1,42000,1,23625,1,7800,97.8505
4,21,1,1581,3,1,30,3,97,2,6,Z90,1,100,29,196,2,,,88,8888,2,,,,2,,97.8504
4,21,1,999,2,1,41,2,97,2,5,899,1,81,332,880,2,,,3,1998,1,10000,1,,2,,481.0603
4,21,1,1001,3,1,26,1,97,1,5,963,1,89,949,994,2,,,9,1999,1,15000,4,,2,,481.0603
4,21,1,1003,2,1,61,9,90,2,1,954,5,52,954,994,2,,,88,8888,1,26000,4,,1,18000,481.0603
4,21,1,1003,4,1,23,4,96,2,5,Z90,5,96,370,793,2,,,12,1997,1,50000,4,,1,14000,481.0603
4,21,1,1005,2,2,37,8,94,2,5,Z20,1,999,549,894,2,,,6,1997,1,29000,4,,1,13000,481.0603
4,21,2,1922,2,1,24,11,96,2,3,954,1,50,803,1196,2,,,11,1998,1,4000,2,,2,,241.3054
4,21,1,1650,2,1,41,9,96,2,6,349,1,94,989,194,2,,,12,1997,1,18200,1,,2,,52.1983
4,21,1,1652,3,2,25,1,97,1,4,946,5,52,849,297,2,,,7,1997,2,,,,2,,52.1983
4,21,2,1933,3,1,36,3,97,2,5,Z90,1,52,42,596,2,,,3,1998,2,,,,2,,241.3055
4,21,2,1933,3,2,35,8,96,1,3,Z90,1,89,791,896,2,,,8,1998,1,42000,2,,2,,241.3055
4,21,2,1933,3,1,26,12,96,1,5,Z90,1,52,982,1296,2,,,12,1997,1,10000,4,,2,,241.3055
4,21,2,1939,5,1,28,3,97,1,5,Z90,1,39,981,588,2,,,1,1998,2,,,,2,,241.3055
4,21,1,1676,6,2,39,3,97,1,6,66,1,56,66,192,2,,,3,1998,1,10000,4,,2,,57.9981
4,21,1,1676,6,1,36,3,97,1,6,29,1,81,29,393,2,,,2,1998,1,18000,4,,2,,57.9981
4,21,1,1676,6,2,27,11,96,1,6,74,1,56,974,1193,2,,,11,1998,1,38000,4,,2,,57.9981
4,21,1,1677,2,1,48,6,96,2,6,854,1,96,552,679,2,,,6,1997,1,10000,1,,2,,57.9981
4,21,1,1693,2,1,34,2,97,2,6,Z90,1,999,981,1290,2,,,10,1997,1,6000,2,,1,2500,56.9436
4,21,1,1695,3,1,32,9,95,1,5,Z90,1,81,929,995,2,,,9,1997,1,8000,1,,1,6000,56.9436
4,21,1,1704,6,1,41,12,96,2,5,589,1,52,599,1293,2,,,12,2001,1,60000,1,,2,,56.9436
4,21,1,1706,2,1,39,5,95,2,5,959,1,81,959,590,2,,,6,1997,1,30000,4,,2,,52.1983
