REG,HHNUM,RPL,PSU,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9_USOCC,Q10_REASON,Q11_CTRY,Q12_STAY,Q13_INDWORK,Q14_OCCUP1,Q15_NOMONTH,Q16_RET,Q17_DTRET,Q18_DTEXP,Q19_CASHREM,Q20_CASHAMT,Q21_MODE,Q22_RET6MOS,Q23_CASHHOME,Q24_INKIND,Q25_KINDAMT,SWGT,P6M_IND
01,00077,2,00580,01,01,1,55,03,012006,2,05,7431,1,400,02,1,8340,23,1,032006,      ,2,      , ,2,      ,2,      ,000404.2115,2
01,00078,2,00580,02,02,2,46,01,102001,2,65,0920,1,500,10,1,2227,58,1,082006,      ,2,      , ,1,200000,2,      ,000392.4960,1
01,00079,1,00583,03,03,1,29,01,082006,1,04,9313,1,233,25,1,9313,01,2,      ,092008,2,      , ,2,      ,2,      ,000452.0454,1
01,00080,2,00596,02,02,1,49,02,052004,2,68,6111,1,400,27,1,8340,36,1,082006,      ,1,130000,1,1,200000,2,      ,000389.7234,1
01,00081,2,00596,02,03,2,25,01,092006,1,63,5220,1,500,24,1,5133,00,2,      ,092008,2,      , ,2,      ,2,      ,000503.8535,1
01,00082,4,00618,02,02,2,36,02,042006,2,04,0210,1,231,24,1,9131,29,2,      ,042008,1,050000,4,1,040000,2,      ,000398.9528,1
01,00083,4,00618,02,02,2,36,02,072006,2,04,5220,1,211,12,1,9131,26,2,      ,072007,1,045000,1,1,050000,1,005000,000398.9528,1
01,00084,4,00618,02,02,2,43,02,072006,2,02,9211,1,213,24,1,9131,12,2,      ,072008,1,035000,1,1,090000,2,      ,000398.9528,1
01,00085,4,00618,01,01,2,47,02,062006,3,04,1314,1,211,24,1,9131,36,2,      ,062008,1,050000,4,1,080000,1,007000,000364.3407,1
01,00086,4,00627,03,03,1,26,02,022005,1,04,8321,1,233,24,1,7122,34,2,      ,022007,1,020000,4,2,      ,2,      ,000500.4788,1
01,00087,4,00627,01,01,1,42,03,022004,2,04,7123,1,233,46,1,7123,55,2,      ,122007,1,090000,4,2,      ,2,      ,000425.0475,1
01,00088,4,00627,01,01,1,47,05,112005,2,68,0920,1,400,88,1,4190,55,2,      ,888888,1,120000,1,2,      ,2,      ,000397.3822,1
01,00089,4,00627,03,03,2,21,02,042005,1,05,0231,1,212,04,1,3473,10,1,082005,      ,2,      , ,2,      ,2,      ,000478.5991,2
