PREG,PHHNUM,PRPL,PPSU,PQ1_LNO,PQ2_REL,PQ3_SEX,PQ4_AGE,PQ5_TMSLEFT,PQ6_DTLEFT,PQ7_MSTAT,PQ8_HGRADE,PQ9_USOCC,PQ10_REASON,PQ11_CTRY,PQ12_STAY,PQ13_INDWORK,PQ14_OCCUP1,PQ15_NOMONTH,PQ16_RET,PQ17_DTRET,PQ18_DTEXP,PQ19_CASHREM,PQ20_CASHAMT,PQ21_MODE,PQ22_RET6MOS,PQ23_CASHHOME,PQ24_INKIND,PQ25_KINDAMT,PSWGT,PP6M_IND,PSVYYR
01,000031,3,28019,01,01,1,34,01,112003,2,03,61,1,300,24,1,93,10,2,      ,102005,1,012000,1,2,      ,2,      ,000398.0309,1,2004
01,000032,4,28020,02,02,2,22,02,062002,2,05,02,3,400,54,1,51,33,2,      ,122006,1,072000,1,2,      ,2,      ,000399.7709,1,2004
01,000033,4,28020,05,05,1,36,02,092004,2,05,09,1,234,24,1,82,60,2,      ,092006,1,060000,4,1,050000,2,      ,000371.4758,1,2004
01,000034,1,29001,05,02,2,50,02,122003,2,04,02,1,222,15,1,91,60,2,      ,032005,1,030000,1,2,      ,2,      ,000338.1531,1,2004
01,000035,4,29002,88,04,2,35,02,092004,2,05,02,3,400,88,1,91,60,2,      ,888888,2,      , ,1,200000,1,006500,000374.7404,1,2004
01,000036,4,29003,04,02,2,39,02,062002,2,03,92,1,222,30,1,91,48,2,      ,122004,1,012000,1,2,      ,2,      ,000355.2961,1,2004
01,000037,4,29003,09,03,2,31,02,122002,2,03,92,1,211,24,1,91,49,2,      ,122004,1,015000,1,2,      ,2,      ,000404.6000,1,2004
01,000038,4,29003,06,03,2,26,02,092002,2,05,91,1,211,24,1,91,48,1,092004,      ,1,015000,1,1,040000,2,      ,000404.6000,1,2004
01,000039,3,29004,01,01,1,40,03,072003,2,65,09,1,212,10,1,83,30,1,042004,      ,2,      , ,1,100000,2,      ,000350.5532,1,2004
01,000040,3,29004,05,02,2,28,02,042002,2,04,02,1,400,24,1,91,49,1,042004,      ,1,020000,1,1,010000,2,      ,000405.5203,1,2004
01,000041,3,29004,03,02,2,36,01,082002,2,03,92,1,235,40,1,91,25,2,      ,012006,1,015000,1,2,      ,1,001250,000356.1042,1,2004
01,000042,3,29005,07,08,1,26,01,062004,1,61,23,1,234,88,1,71,03,2,      ,888888,2,      , ,2,      ,2,      ,000399.8428,1,2004
01,000042,3,29005,08,02,2,28,01,082004,2,65,02,3,500,88,1,22,01,2,      ,888888,2,      , ,2,      ,2,      ,000406.1338,1,2004
01,000043,3,29005,04,02,2,35,02,082004,2,05,02,1,235,22,1,91,27,2,      ,062006,2,      , ,2,      ,2,      ,000356.6429,1,2004
01,000044,3,29005,05,03,2,46,01,062004,1,03,02,1,213,36,1,91,03,2,      ,062007,2,      , ,2,      ,2,      ,000339.4350,1,2004
01,000045,3,29005,03,03,1,28,01,092002,1,65,22,1,233,24,1,22,24,1,092004,      ,2,      , ,1,080000,2,      ,000399.8428,1,2004
01,000045,3,29005,05,02,1,61,03,042003,2,04,71,1,233,27,1,71,60,2,      ,072005,1,060000,1,2,      ,2,      ,000363.5430,1,2004
01,000046,3,29006,06,08,2,23,02,042002,1,05,02,1,222,88,1,91,48,2,      ,888888,1,013000,1,2,      ,2,      ,000401.4917,1,2004
01,000047,3,29006,02,02,2,37,02,052002,2,05,02,1,211,88,1,91,60,2,      ,888888,1,060000,1,2,      ,2,      ,000378.9825,1,2004
01,000048,3,29006,08,03,2,27,01,042002,2,63,02,1,235,30,1,91,29,2,      ,112004,1,024000,1,2,      ,2,      ,000431.5733,1,2004
01,000048,3,29006,12,03,2,21,01,042004,1,65,22,1,233,36,1,22,06,2,      ,042007,1,005000,1,2,      ,2,      ,000401.4917,1,2004
01,000049,2,29007,03,05,1,29,01,092000,2,68,09,1,221,24,1,83,24,1,102002,      ,2,      , ,2,      ,2,      ,000398.3329,2,2004
01,000050,3,29008,11,03,2,30,02,092004,1,04,02,1,235,36,1,91,24,2,      ,092007,2,      , ,2,      ,2,      ,000404.6000,1,2004
01,000051,1,29009,06,03,1,23,01,092004,1,05,92,1,213,37,1,81,00,2,      ,102007,1,040000,1,2,      ,2,      ,000391.1456,1,2004
01,000052,1,29009,04,03,2,22,02,092004,1,04,92,1,212,03,1,34,12,2,      ,122004,1,045000,1,1,075000,2,      ,000408.6925,1,2004
01,000053,1,29009,05,02,2,38,02,112003,2,05,92,1,235,24,1,91,48,2,      ,112005,1,030000,4,2,      ,2,      ,000385.7796,1,2004
01,000054,3,29010,06,02,2,38,01,072003,2,05,02,1,211,24,1,91,14,2,      ,072005,1,060000,1,2,      ,2,      ,000355.2961,1,2004
01,000055,3,29010,11,03,2,32,01,072003,2,63,02,1,400,88,1,91,14,2,      ,888888,1,078000,1,2,      ,2,      ,000404.6000,1,2004
01,000056,3,29010,05,02,2,35,02,012002,2,03,02,1,235,35,1,91,32,2,      ,122004,1,030000,4,2,      ,2,      ,000355.2961,1,2004
01,000057,1,29011,06,03,2,26,02,072004,1,05,02,1,232,88,1,91,27,2,      ,888888,2,      , ,2,      ,2,      ,000404.6000,1,2004
01,000058,1,29011,09,03,2,31,01,122002,1,04,02,1,222,24,1,91,21,2,      ,112004,1,010000,4,2,      ,2,      ,000404.6000,1,2004
01,000058,1,29011,10,03,2,25,01,012002,1,05,02,1,222,35,1,91,32,2,      ,112004,1,010000,4,2,      ,2,      ,000404.6000,1,2004
01,000059,4,29013,06,02,1,47,02,072004,2,68,83,1,400,08,1,83,11,2,      ,032005,1,025000,1,2,      ,2,      ,000338.8311,1,2004
01,000060,4,29013,04,03,1,34,01,032003,2,04,91,1,214,14,1,82,11,1,052004,      ,2,      , ,1,000000,2,      ,000398.3329,1,2004
01,000060,4,29013,06,05,2,33,01,092004,2,63,02,1,222,24,1,91,01,2,      ,092006,2,      , ,2,      ,2,      ,000404.6000,1,2004
01,000061,4,29015,04,02,1,28,01,082004,2,05,83,1,213,24,1,72,01,2,      ,082006,2,      , ,2,      ,2,      ,000399.8428,1,2004
01,000062,2,29016,04,03,2,24,02,032004,1,04,02,1,213,26,1,82,56,2,      ,032007,1,090000,4,2,      ,2,      ,000377.2546,1,2004
01,000062,2,29016,05,03,2,23,01,082004,2,05,02,1,213,36,1,82,01,2,      ,082007,2,      , ,2,      ,2,      ,000377.2546,1,2004
01,000063,2,29016,04,03,2,30,02,082004,1,04,91,1,211,24,1,91,24,2,      ,082006,1,010000,4,1,050000,2,      ,000405.5203,1,2004
01,000064,2,29017,07,03,2,23,01,102002,1,05,52,1,234,26,1,91,23,2,      ,122004,1,040000,1,2,      ,2,      ,000376.3985,1,2004
01,000065,2,29017,03,03,2,29,01,032002,1,63,92,1,222,24,1,91,23,1,022004,      ,2,      , ,2,      ,2,      ,000404.6000,2,2004
01,000066,2,29018,01,01,1,36,03,102003,2,65,61,1,212,09,1,83,27,1,082004,      ,1,112000,1,1,280000,2,      ,000351.0835,1,2004
01,000067,2,29018,03,02,2,31,01,062001,2,04,92,1,222,54,1,91,39,2,      ,122005,1,015000,1,2,      ,1,002000,000406.1338,1,2004
01,000068,2,29018,04,02,2,36,01,032002,2,02,92,1,234,32,1,91,30,2,      ,112004,1,012000,1,2,      ,2,      ,000356.6429,1,2004
01,000069,2,29018,06,02,1,47,01,112002,2,04,02,1,233,36,1,83,22,2,      ,112005,1,060000,1,2,      ,2,      ,000340.1155,1,2004
01,000069,2,29018,07,03,2,22,01,062004,1,05,41,1,234,24,1,42,04,2,      ,062006,2,      , ,2,      ,2,      ,000377.8253,1,2004
01,000070,4,29019,01,01,1,40,02,102002,2,03,61,1,233,26,1,82,60,2,      ,122004,1,042000,1,2,      ,2,      ,000350.5532,1,2004
01,000071,4,29019,03,03,2,24,02,052002,1,04,52,1,222,36,1,91,60,2,      ,042005,1,024000,1,2,      ,2,      ,000377.2546,1,2004
01,000072,2,29020,88,02,1,52,01,112001,2,05,92,6,500,88,1,42,34,2,      ,888888,1,030000,1,2,      ,2,      ,000349.4361, ,2004
01,000073,2,33001,11,03,2,33,01,022004,2,04,02,1,211,24,1,91,07,2,      ,012006,1,067000,1,2,      ,1,004500,000429.6992,1,2004
01,000074,2,33002,01,01,1,48,03,012004,2,65,13,1,500,12,1,82,45,2,      ,012005,1,072000,1,2,      ,2,      ,000358.4904,1,2004
01,000075,2,33002,03,03,2,24,03,092004,1,04,02,1,212,06,1,51,13,2,      ,042005,2,      , ,2,      ,2,      ,000398.2375,1,2004
01,000076,1,33003,01,01,1,43,01,042000,2,04,82,1,213,24,1,82,24,1,042002,      ,2,      , ,2,      ,2,      ,000349.4925,2,2004
01,000077,1,33003,05,04,2,51,02,032003,3,04,92,1,211,24,1,91,60,2,      ,032005,2,      , ,2,      ,2,      ,000337.8968,1,2004
01,000078,1,33003,02,02,2,37,01,062001,2,04,92,1,222,24,1,91,24,1,062003,      ,2,      , ,2,      ,2,      ,000355.0267,2,2004
01,000079,4,33004,01,01,1,30,01,042001,2,05,33,1,213,33,1,82,33,1,012004,      ,2,      , ,2,      ,2,      ,000423.0433,2,2004
01,000080,4,33004,88,04,2,16,02,032004,1,05,02,6,500,02,2,  ,  ,1,052004,      ,2,      , ,1,027500,1,006325,000371.1132, ,2004
01,000080,4,33004,89,07,1,51,02,072004,2,65,13,6,500,88,2,  ,  ,2,      ,888888,2,      , ,2,      ,2,      ,000371.1132, ,2004
01,000080,4,33004,90,07,2,49,01,062003,2,05,02,6,500,15,2,  ,  ,1,092004,      ,2,      , ,1,000000,2,      ,000371.1132, ,2004
01,000080,4,33004,91,04,2,12,02,082004,1,02,02,6,500,88,2,  ,  ,2,      ,888888,2,      , ,2,      ,2,      ,000378.6550, ,2004
01,000081,4,33005,05,03,2,33,01,092003,1,05,02,1,233,24,1,91,12,2,      ,092005,2,      , ,2,      ,2,      ,000404.2933,1,2004
01,000082,4,33005,03,03,2,31,01,111999,2,04,93,1,214,88,1,74,58,2,      ,888888,1,090000,1,2,      ,1,035000,000404.2933,1,2004
01,000082,4,33005,06,03,2,28,02,012004,4,04,02,1,214,88,1,74,33,2,      ,888888,1,030000,1,2,      ,2,      ,000404.2933,1,2004
01,000083,4,33005,02,03,2,25,02,052004,1,61,23,1,223,24,1,23,60,2,      ,052006,1,040000,1,1,020000,2,      ,000404.2933,1,2004
01,000084,4,33005,03,08,2,24,01,042004,1,05,52,1,222,24,1,91,05,2,      ,042006,1,002000,3,2,      ,2,      ,000376.1131,1,2004
01,000085,4,33005,03,03,2,28,02,052004,1,04,02,1,211,88,1,91,60,2,      ,888888,1,036000,4,1,025000,2,      ,000404.2933,1,2004
01,000086,1,33006,03,03,1,26,01,062004,2,04,61,1,214,24,1,74,03,2,      ,062006,1,010000,1,2,      ,2,      ,000432.0432,1,2004
01,000086,1,33006,04,05,2,25,01,022004,2,04,52,1,214,24,1,74,07,2,      ,022006,1,010000,1,2,      ,2,      ,000438.8408,1,2004
01,000087,1,33006,03,03,1,21,01,092004,1,68,83,1,213,24,1,82,01,2,      ,092006,2,      , ,2,      ,2,      ,000390.7246,1,2004
01,000088,1,33006,02,03,2,40,01,052004,1,61,02,1,235,36,1,91,01,2,      ,052007,1,003000,1,2,      ,2,      ,000385.3643,1,2004
01,000089,1,33006,03,03,2,23,01,042004,1,04,02,1,223,88,1,91,05,2,      ,888888,1,005000,4,2,      ,2,      ,000408.2526,1,2004
01,000090,1,33007,02,02,2,36,01,122002,2,04,74,1,235,24,1,91,21,2,      ,122004,1,060000,1,2,      ,2,      ,000379.3654,1,2004
01,000091,1,33007,02,02,2,36,01,092000,2,04,02,1,211,15,1,91,15,1,122001,      ,2,      , ,2,      ,2,      ,000379.3654,2,2004
01,000092,1,33007,01,01,1,42,01,052003,2,04,83,1,233,24,1,83,16,2,      ,052005,1,031000,1,2,      ,2,      ,000373.4518,1,2004
01,000093,1,33007,02,03,2,35,01,012002,1,03,02,1,211,24,1,91,24,1,012004,      ,2,      , ,2,      ,2,      ,000379.3654,2,2004
01,000094,1,33007,02,03,2,30,02,092003,1,65,22,1,400,88,1,22,60,2,      ,888888,1,010000,1,2,      ,2,      ,000432.0094,1,2004
01,000095,1,33009,03,02,2,50,02,042004,2,04,02,1,400,88,1,91,58,2,      ,888888,1,008000,4,2,      ,2,      ,000364.4410,1,2004
01,000096,1,33009,04,02,2,39,01,022001,2,04,02,1,235,88,1,91,43,2,      ,888888,1,043000,1,2,      ,2,      ,000382.9166,1,2004
01,000097,1,33009,06,02,2,39,03,092004,2,66,02,1,211,24,1,91,56,2,      ,092006,1,025000,1,1,020000,1,021000,000382.9166,1,2004
01,000098,1,33009,05,03,2,29,01,042004,2,05,02,1,233,88,1,91,05,2,      ,888888,1,020000,1,2,      ,2,      ,000436.0534,1,2004
01,000099,1,33009,01,01,1,61,04,102003,2,04,09,1,222,08,1,51,45,1,062004,      ,1,044000,1,1,100000,1,032340,000390.3250,1,2004
01,000100,3,33011,02,02,2,43,02,052003,2,04,91,1,235,24,1,51,50,2,      ,042005,1,030000,1,2,      ,1,017500,000379.2698,1,2004
01,000101,3,33011,01,01,1,38,02,062003,2,04,93,1,233,08,1,93,24,1,022004,      ,2,      , ,2,      ,2,      ,000373.3577,2,2004
01,000102,3,33011,01,01,1,52,01,042001,2,05,82,1,233,12,1,81,12,1,042002,      ,2,      , ,2,      ,2,      ,000361.6938,2,2004
