RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ221C_CONSUM,RQ221P_CONSUM,RQ222C_INVEST,RQ222P_INVEST,RQ223C_SAVINGS,RQ223P_SAVINGS,RQ224C_OTHERS,RQ224P_OTHERS,RQ23_RET6MOS,RQ24_CASHHOME,RQ25_INKIND,RQ26_KINDAMT,RSWGT,RP6M_IND
01,0001,001,00010,02,02,2,31,01,02,2008,2,04,131,1,211,24,1,913,07,2,,,02,2010,1,0018500,1,1,095,,,3,005,,,2,,1,0003000,000506.7991,1
01,0002,003,00020,06,05,2,27,02,05,2008,2,04,021,1,213,23,1,743,24,2,,,04,2010,1,0010000,1,1,100,,,,,,,2,,2,,000532.1455,1
01,0003,002,00017,02,02,2,37,02,04,2008,2,04,913,1,213,36,1,913,42,2,,,04,2011,1,0006000,1,1,045,2,050,3,005,,,2,,2,,000414.6713,1
01,0004,002,00021,06,03,2,37,02,05,2008,4,04,021,1,211,24,1,913,28,2,,,05,2010,1,0048000,1,1,100,,,,,,,2,,2,,000413.0982,1
01,0005,002,00021,81,05,1,45,01,08,2005,2,05,131,6,500,88,1,913,37,2,,,88,8888,1,0058800,4,1,080,,,3,020,,,2,,2,,000403.1238,
01,0006,002,00021,82,02,1,63,01,07,2004,2,05,611,6,500,88,1,913,50,2,,,88,8888,1,0060000,4,1,100,,,,,,,2,,2,,000403.1238,
01,0007,002,00021,01,01,1,55,02,04,2007,2,05,724,1,233,24,1,827,49,2,,,04,2009,1,0095000,4,1,050,,,3,050,,,2,,2,,000374.3803,1
01,0008,002,00021,02,02,2,38,02,02,2007,2,05,743,1,211,24,1,913,42,2,,,02,2009,1,0030000,4,1,100,,,,,,,2,,2,,000413.0982,1
01,0009,002,00021,02,03,2,27,01,08,2007,1,05,021,1,222,24,1,913,13,2,,,08,2009,1,0030000,1,1,100,,,,,,,2,,2,,000506.7991,1
01,0009,002,00021,03,03,2,24,01,07,2008,1,04,021,1,222,24,1,913,02,2,,,07,2010,1,0010000,1,1,100,,,,,,,2,,2,,000463.7143,1
01,0010,003,00032,03,05,2,29,01,06,2007,2,61,233,1,500,23,1,913,15,2,,,05,2009,1,0010000,1,1,050,,,3,050,,,2,,2,,000509.8870,1
01,0011,001,00042,05,05,1,24,02,12,2007,2,68,091,1,400,08,1,522,18,1,08,2008,,,1,0063000,1,1,100,,,,,,,1,0110000,2,,000425.1044,1
01,0012,001,00044,09,05,1,33,02,05,2006,2,05,913,1,234,31,1,913,46,2,,,12,2008,1,0030000,1,1,100,,,,,,,2,,2,,000501.6869,1
01,0013,001,00044,03,03,2,25,01,05,2007,1,04,913,4,222,07,1,913,07,1,12,2007,,,2,,,,,,,,,,,2,,2,,000509.8870,2
01,0014,001,00044,05,03,2,32,01,04,2008,1,05,512,1,234,24,1,522,05,2,,,04,2010,2,,,,,,,,,,,2,,2,,000509.8870,1
01,0014,001,00044,06,03,2,27,01,10,2007,1,64,347,1,234,24,1,413,11,2,,,10,2009,1,0059000,5,1,100,,,,,,,2,,2,,000509.8870,1
01,0015,004,00055,06,08,2,58,02,12,2007,4,02,513,1,211,12,1,913,59,2,,,12,2008,1,0008000,4,1,100,,,,,,,2,,2,,000368.7394,1
01,0016,004,00055,03,03,2,24,02,08,2008,1,63,023,1,233,12,1,414,16,2,,,08,2009,2,,,,,,,,,,,1,0500000,1,0010000,000465.1269,1
01,0017,004,00055,01,01,2,60,01,07,2008,3,01,341,1,500,05,1,913,02,2,,,12,2008,2,,,,,,,,,,,2,,2,,000368.7394,1
01,0018,001,00057,02,02,2,51,02,12,2006,2,04,921,1,211,24,1,913,59,2,,,12,2008,1,0041000,1,1,100,,,,,,,2,,2,,000379.6306,1
01,0019,001,00057,01,01,1,35,01,10,2007,2,05,911,1,500,15,1,741,11,2,,,01,2009,1,0090000,1,1,100,,,,,,,2,,2,,000416.3065,1
01,0020,001,00057,01,01,1,40,01,07,2007,2,65,131,1,500,17,1,741,14,2,,,12,2008,1,0072000,1,1,100,,,,,,,2,,2,,000416.3065,1
01,0021,001,00057,04,03,2,35,01,05,2008,2,61,234,1,500,88,1,513,04,2,,,88,8888,2,,,,,,,,,,,2,,2,,000414.0420,1
01,0021,001,00057,07,03,1,32,01,06,2007,2,05,611,1,500,17,1,741,15,2,,,11,2008,1,0090000,4,1,100,,,,,,,2,,2,,000499.7880,1
