RREG,RHHNUM,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_2DGT,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_RETURN,RQ14_INDWORK,RQ15_2DGT,RQ16_2DGT,RQ17_AVEMINC,RQ18_NOMONTH,RQ19_RET,RQ20M_DTRET,RQ20Y_DTRET,RQ21_REASON,RQ22M_DTEXP,RQ22Y_DTEXP,RQ23_CASHREM,RQ24_CASHAMT,RQ25_MODE,RQ26_REMITTANCE_SPENT,RQ261P_CONSUM,RQ262P_INVEST,RQ263P_SAVINGS,RQ264P_GIFT,RQ265P_OTHERS,RQ27_RET6MOS,RQ28_CASHHOME,RQ29_INKIND,RQ30_KINDAMT,RSWGT,RP6M_IND,RURB2015,RSVYYR,RPRRCD
01,000021,05,05,2,30,01,04,2019,2,08,92,1,1,211,24,1,91,96,0024000,17,2,  ,    , ,04,2021,1,   61000,5,A    ,100,000,000,000,000,2,       ,2,        ,000400.5507,1,2,2020,2800
01,000022,81,07,2,65,01,11,2018,3,04,61,6, ,500,88,1,53,86,0090000,22,2,  ,    , ,88,8888,1,   60000,1,A    ,100,000,000,000,000,2,       ,2,        ,000424.5537, ,2,2020,2800
01,000023,09,04,2,45,01,09,2019,1,08,92,1,1,233,60,1,91,96,0025000,12,2,  ,    , ,09,2024,1,   60000,5,AC   ,070,000,030,000,000,2,       ,2,        ,000331.5522,1,2,2020,2800
01,000024,07,03,2,31,01,07,2018,1,10,94,1,1,234,60,1,12,47,0025000,26,2,  ,    , ,07,2023,1,   18000,5,A    ,100,000,000,000,000,2,       ,1,00015000,000398.8414,1,2,2020,2800
01,000025,04,07,2,47,01,10,2018,4,03,92,1,1,233,24,1,91,96,0022000,23,2,  ,    , ,10,2020,1,   49000,1,A    ,100,000,000,000,000,2,       ,2,        ,000319.4742,1,2,2020,2800
01,000026,04,05,2,36,01,11,2019,2,04,92,1,1,233,24,1,91,96,0020000,10,2,  ,    , ,11,2021,1,   30000,5,A    ,100,000,000,000,000,2,       ,2,        ,000414.2828,1,2,2020,2800
01,000027,01,01,1,42,01,11,2015,2,09,51,1,1,213,36,1,93,28,0028000,36,1,11,2018,2,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000377.2631,2,2,2020,2800
01,000028,07,03,2,28,01,03,2019,2,09,09,1,1,222,24,1,91,96,0025000,18,2,  ,    , ,03,2021,1,   42500,5,A    ,100,000,000,000,000,2,       ,2,        ,000364.9806,1,2,2020,2800
01,000028,09,05,1,27,01,09,2019,2,04,51,1,1,100,24,1,51,55,0025000,12,2,  ,    , ,09,2021,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000432.3883,1,2,2020,2800
01,000029,01,01,1,29,01,12,2019,2,03,62,4, ,223,01,2,  ,  ,       ,  ,1,01,2020,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000432.3883,2,2,2020,2800
01,000029,02,02,2,28,01,12,2019,2,04,61,4, ,223,01,2,  ,  ,       ,  ,1,01,2020,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000364.9806,2,2,2020,2800
01,000029,03,03,2,12,03,12,2019,1,01,09,4, ,223,01,2,  ,  ,       ,  ,1,01,2020,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000411.5215,2,2,2020,2800
01,000029,04,03,2,04,01,12,2019, ,  ,  ,4, ,223,01,2,  ,  ,       ,  ,1,01,2020,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000411.5215,2,2,2020,2800
01,000030,02,02,1,42,02,03,2018,2,09,09,1,1,213,36,1,93,13,0028000,48,2,  ,    , ,03,2021,1,   55000,1,A    ,100,000,000,000,000,2,       ,2,        ,000377.2631,1,2,2020,2800
01,000031,02,02,1,58,04,09,2020,2,10,52,1,2,400,12,1,92,50,0060000,60,2,  ,    , ,09,2021,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000364.3957,1,2,2020,2800
01,000032,01,01,2,45,03,05,2019,2,10,14,1,1,233,10,1,22,86,0050000,41,1,03,2020,2,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000332.9731,2,2,2020,2800
01,000032,02,02,1,43,04,02,2020,2,08,92,1,1,233,10,1,41,82,0090000,50,2,  ,    , ,12,2020,1,  240000,5,ABC  ,050,030,020,000,000,2,       ,2,        ,000414.0302,1,2,2020,2800
01,000033,02,02,1,45,02,03,2019,2,08,92,1,2,213,36,1,62,50,0025000,59,2,  ,    , ,03,2022,1,  120000,1,ABC  ,050,030,020,000,000,2,       ,2,        ,000407.9918,1,2,2020,2800
01,000034,02,02,2,36,02,11,2017,2,09,61,1,1,222,24,1,91,96,0020000,48,1,12,2019,2,  ,    ,1,   70000,5,AC   ,080,000,020,000,000,2,       ,2,        ,000413.4493,2,2,2020,2800
01,000035,06,05,2,43,02,04,2017,2,08,61,1,1,211,24,1,91,96,0025000,48,1,05,2019,2,  ,    ,1,   62000,5,AC   ,080,000,020,000,000,2,       ,2,        ,000413.4493,2,2,2020,2800
01,000036,08,03,2,45,02,03,2016,3,04,61,1,1,231,24,1,91,96,0025000,02,1,04,2018,2,  ,    ,1,   56000,5,A    ,100,000,000,000,000,2,       ,2,        ,000318.8314,2,2,2020,2800
01,000037,05,03,2,42,01,10,2017,3,03,61,1,1,211,48,1,91,96,0025000,35,2,  ,    , ,10,2021,1,   60000,5,AC   ,080,000,020,000,000,2,       ,2,        ,000413.4493,1,2,2020,2800
01,000038,05,03,2,30,02,12,2018,2,04,91,1,1,232,24,1,91,96,0025000,22,2,  ,    , ,12,2020,1,   60000,5,AC   ,080,000,020,000,000,2,       ,2,        ,000381.0645,1,2,2020,2800
01,000039,81,02,2,59,04,12,2019,2,09,92,6, ,500,12,1,53,87,0060000,44,2,  ,    , ,12,2020,1,  120000,5,AC   ,080,000,020,000,000,2,       ,2,        ,000392.7243, ,2,2020,2800
01,000039,82,06,2,25,02,12,2019,1,10,52,6, ,500,12,1,52,47,0050000,44,2,  ,    , ,12,2020,1,   40000,5,A    ,100,000,000,000,000,2,       ,2,        ,000392.7243, ,2,2020,2800
01,000040,04,02,2,38,03,07,2019,2,04,92,1,1,222,24,1,91,96,0020000,49,2,  ,    , ,07,2021,1,   30000,5,A    ,100,000,000,000,000,2,       ,2,        ,000397.7115,1,2,2020,2800
01,000041,04,03,2,38,02,03,2020,3,08,52,1,1,211,24,1,91,96,0025000,52,2,  ,    , ,03,2022,1,   63000,5,A    ,100,000,000,000,000,2,       ,2,        ,000397.7115,1,2,2020,2800
01,000042,04,08,1,48,02,09,2019,2,09,83,1,1,234,24,1,52,56,0030000,56,2,  ,    , ,09,2021,1,   60000,5,A    ,100,000,000,000,000,2,       ,2,        ,000375.7935,1,2,2020,2800
01,000042,05,08,2,43,02,09,2019,2,09,52,1,1,234,24,1,52,52,0030000,56,2,  ,    , ,09,2021,1,   30000,1,C    ,000,000,100,000,000,2,       ,2,        ,000397.7115,1,2,2020,2800
01,000043,02,02,2,29,02,11,2019,2,04,91,1,1,235,24,1,91,96,0020000,44,2,  ,    , ,11,2021,1,   52000,5,AC   ,080,000,020,000,000,2,       ,2,        ,000368.9397,1,2,2020,2800
01,000044,02,02,1,37,04,05,2020,2,10,83,1,2,214,09,1,92,50,0060000,44,2,  ,    , ,02,2021,1,   75000,1,ABC  ,060,030,010,000,000,2,       ,2,        ,000391.6502,1,2,2020,2800
01,000045,03,03,2,25,01,11,2018,1,10,52,1,1,213,36,1,93,32,0025000,22,2,  ,    , ,11,2021,1,   60000,5,ABC  ,050,030,020,000,000,2,       ,2,        ,000378.8993,1,2,2020,2800
01,000046,02,02,2,69,02,09,2019,2,10,09,4, ,222,01,2,  ,  ,       ,  ,1,10,2019,4,  ,    ,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000332.1285,2,2,2020,2800
01,000047,02,02,1,59,02,02,2020,2,10,09,1,1,300,36,1,83,10,0045000,43,2,  ,    , ,02,2023,1,  125000,1,AC   ,080,000,020,000,000,2,       ,2,        ,000347.1608,1,2,2020,2800
01,000048,04,04,2,26,02,09,2017,4,04,11,1,1,222,24,1,91,96,0025000,48,1,10,2019,2,  ,    ,1,   57000,5,A    ,100,000,000,000,000,2,       ,2,        ,000371.8944,2,2,2020,2800
01,000049,03,08,1,30,02,02,2017,1,09,52,1,1,234,24,1,52,47,0030000,48,1,03,2019,2,  ,    ,1,   15000,5,A    ,100,000,000,000,000,2,       ,2,        ,000440.5790,2,2,2020,2800
01,000050,08,03,2,45,02,09,2016,2,09,61,1,1,234,24,1,91,96,0025000,48,1,10,2018,2,  ,    ,1,   60000,5,AC   ,080,000,020,000,000,2,       ,2,        ,000309.1514,2,2,2020,2800
01,000051,04,02,2,50,02,10,2019,2,04,61,1,1,211,24,1,91,96,0025000,48,1,10,2019,2,  ,    ,1,   58000,5,AC   ,050,000,050,000,000,2,       ,2,        ,000309.8880,2,2,2020,2800
01,000052,08,03,2,29,02,01,2018,4,04,52,1,1,234,24,1,91,96,0030000,48,1,02,2020,2,  ,    ,1,   60000,5,A    ,100,000,000,000,000,2,       ,2,        ,000372.7804,2,2,2020,2800
01,000053,04,02,2,29,02,04,2018,2,04,61,1,1,222,24,1,91,96,0025000,48,1,05,2018,2,  ,    ,1,   60000,5,AC   ,080,000,020,000,000,2,       ,2,        ,000372.7804,2,2,2020,2800
01,000054,04,03,2,33,02,02,2020,1,10,41,1,1,222,24,1,41,82,0600000,24,1,03,2020,1,  ,    ,1,  180000,5,AC   ,050,000,050,000,000,2,       ,2,        ,000372.7804,2,2,2020,2800
01,000055,08,02,2,45,02,03,2017,2,04,61,1,1,235,24,1,91,96,0025000,48,1,04,2019,2,  ,    ,1,   60000,5,A    ,080,000,000,000,000,2,       ,2,        ,000309.8880,2,2,2020,2800
01,000056,04,05,2,41,03,12,2019,2,10,23,1,1,211,24,1,91,96,0030000,59,2,  ,    , ,12,2021,1,   90000,1,A    ,100,000,000,000,000,2,       ,2,        ,000402.6129,1,2,2020,2800
01,000057,04,03,2,33,04,02,2020,1,10,52,1,1,233,12,1,22,86,0050000,60,2,  ,    , ,02,2021,1,  120000,5,ABC  ,050,030,020,000,000,2,       ,2,        ,000373.4865,1,2,2020,2800
01,000058,03,03,1,42,03,05,2020,2,10,14,1,1,233,24,1,91,81,0025000,52,2,  ,    , ,05,2022,1,   20000,1,AC   ,050,000,050,000,000,2,       ,2,        ,000407.3162,1,2,2020,2800
01,000058,04,05,2,37,03,04,2020,2,10,22,1,1,233,24,1,22,86,0080000,56,2,  ,    , ,04,2022,2,        , ,     ,   ,   ,   ,   ,   ,2,       ,2,        ,000424.7857,1,2,2020,2800
01,000058,06,05,1,44,02,06,2019,2,09,52,1,1,231,24,1,52,47,0050000,39,2,  ,    , ,06,2021,1,   45000,1,AC   ,030,000,070,000,000,2,       ,2,        ,000407.3162,1,2,2020,2800
