REG,HHID,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6M_DTLEFT,Q6Y_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9USOCC,Q10_REASON,Q11_BASE,Q12_CTRY,Q13_STAY,Q14_INDWORK,Q15OCCUP,Q16_NOMONTH,Q17_RET,Q18M_DTRET,Q18Y_DTRET,Q19_REASON,Q20M_DTEXP,Q20Y_DTEXP,Q21_CASHREM,Q22_CASHAMT,Q23_MODE,Q241C_CONSUM,Q241P_CONSUM,Q242C_INVEST,Q242P_INVEST,Q243C_SAVINGS,Q243P_SAVINGS,Q244C_OTHERS,Q244P_OTHERS,Q25_RET6MOS,Q26_CASHHOME,Q27_INKIND,Q28_KINDAMT,SWGT,P6M_IND
01,421102000922001280001281205900000130269,02,02,2,45,01,04,2008,2,04,741,1,1,083,88,1,913,53,2,,,,88,8888,1,0120000,1,1,100,,,,,,,2,,1,0020000,000417.2751,1
01,421102000922001280001281205900000160327,01,01,1,40,08,03,2012,2,02,023,1,2,022,03,1,834,51,1,06,2012,2,,,2,,,,,,,,,,,1,0004100,2,,000489.4891,1
01,321110000852001280001281206600000090107,06,03,2,30,03,05,2012,1,06,131,1,1,094,24,1,422,41,2,,,,05,2014,1,0025000,1,1,090,,,3,010,,,2,,2,,000564.8299,1
01,321206000672001280001281208100000120164,03,03,1,29,02,10,2011,1,06,023,1,1,089,24,1,721,35,2,,,,10,2013,1,0024500,5,1,090,,,3,010,,,2,,2,,000594.6508,1
01,422223000992001280001281501100000020025,01,01,1,38,01,07,2011,2,04,611,1,1,089,35,1,822,14,2,,,,06,2014,1,0150000,1,1,035,,,3,065,,,2,,2,,000494.2366,1
01,121214001092101280001281600300000180080,01,01,1,50,06,10,2011,2,65,832,1,2,022,13,1,834,60,2,,,,11,2012,1,0240000,1,1,050,2,040,3,010,,,2,,1,0020000,000370.4075,1
01,422112001072001280001281600400000120259,02,02,2,46,02,08,2012,2,06,913,1,1,039,23,1,913,50,2,,,,07,2014,1,0018000,1,1,090,,,3,010,,,1,0020000,2,,000378.3289,1
01,422112001072001280001281600400000130282,03,03,2,29,03,10,2011,1,04,023,1,1,089,36,1,724,48,2,,,,10,2014,1,0030000,1,1,090,,,3,010,,,2,,2,,000512.1117,1
01,422112001072001280001281600400000130282,09,05,1,32,02,05,2010,2,63,023,1,1,089,37,1,724,50,2,,,,06,2013,1,0036000,1,1,080,,,3,020,,,2,,2,,000532.4599,1
01,221222001132101280001281700200000070062,02,02,2,25,01,07,2009,2,06,921,1,1,082,48,1,913,38,2,,,,07,2013,1,0043400,1,1,070,,,3,030,,,2,,2,,000511.7232,1
01,221222001132101280001281700200000120111,02,02,2,46,02,07,2012,2,04,021,1,1,083,24,1,913,48,2,,,,07,2014,2,,,,,,,,,,,1,0250000,2,,000378.0418,1
01,221222001132101280001281700200000130121,02,05,1,36,02,05,2009,2,06,611,1,1,089,38,1,743,50,1,07,2012,2,,,2,,,,,,,,,,,1,0180000,1,0070000,000443.4661,1
01,221314001232101280001281801500000030046,03,03,2,29,02,12,2011,1,68,921,1,1,018,88,1,513,10,2,,,,88,8888,1,0018000,1,1,080,,,3,020,,,2,,2,,000538.2470,1
01,221314001232101280001281801500000080128,11,05,2,27,01,08,2011,2,57,021,1,1,039,35,1,913,13,2,,,,07,2014,1,0030000,1,1,080,,,3,020,,,2,,2,,000538.2470,1
01,221314001232101280001281801500000100161,03,03,1,53,03,07,2011,2,55,611,1,1,039,88,1,832,50,2,,,,88,8888,1,0015000,1,1,080,,,3,020,,,1,0410000,1,0040000,000389.6066,1
01,221314001232101280001281801500000130209,01,01,1,53,05,02,2012,2,68,023,2,2,052,09,1,834,43,2,,,,11,2012,1,0252000,1,1,040,2,040,3,020,,,2,,2,,000389.6066,1
01,221314001232101280001281801500000140223,10,06,2,24,01,06,2012,1,64,522,2,1,094,23,1,913,03,2,,,,05,2014,1,0015000,1,1,050,,,3,050,,,2,,2,,000490.7073,1
01,421307001602001280001282300100000010255,02,02,2,42,02,02,2009,2,04,523,1,1,103,50,1,913,43,2,,,,04,2013,1,0020000,1,1,090,,,3,010,,,2,,2,,000421.9567,1
01,421307001602001280001282301700000048001,01,01,2,30,03,04,2012,4,04,921,1,1,082,12,1,913,53,2,,,,04,2013,1,0030000,5,1,090,,,3,010,,,2,,2,,000511.3346,1
01,421307001602001280001282301700000060069,04,05,1,31,01,07,2012,2,04,734,1,1,081,22,1,734,02,2,,,,05,2014,2,,,,,,,,,,,2,,2,,000531.6520,1
01,421307001602001280001282301700000130201,03,03,2,28,01,09,2009,1,67,023,1,1,018,45,1,513,36,2,,,,06,2013,1,0030000,5,1,090,,,3,010,,,2,,2,,000511.3346,1
01,421307001602001280001282301700000160243,03,03,2,25,01,06,2012,1,06,522,1,1,089,36,1,913,03,2,,,,06,2015,2,,,,,,,,,,,2,,2,,000511.3346,1
01,421307001602001280001282301700000170254,02,02,2,41,01,05,2012,2,62,023,1,1,096,19,1,422,04,2,,,,12,2013,1,0080000,1,1,070,2,020,3,010,,,2,,1,0006000,000421.9567,1
01,121233001752101290001290300200000050054,07,03,2,32,02,02,2011,1,68,021,1,1,094,24,1,913,36,2,,,,02,2013,1,0060000,4,1,100,,,,,,,2,,2,,000540.9725,1
01,121233001752101290001290300200000090105,04,05,2,31,01,09,2011,2,67,023,1,1,039,48,1,913,12,2,,,,09,2015,1,0012000,1,1,100,,,,,,,2,,2,,000540.9725,1
01,121233001752101290001290300200000090105,06,05,2,30,01,12,2011,2,04,023,1,1,039,48,1,913,09,2,,,,12,2015,1,0030000,1,1,100,,,,,,,2,,2,,000540.9725,1
01,121233001752101290001290300200000130154,02,02,2,51,02,04,2010,2,02,021,1,1,039,36,1,913,59,2,,,,04,2013,1,0060000,1,1,100,,,,,,,2,,2,,000399.6501,1
01,121233001752101290001290300200000140166,05,03,1,26,01,08,2008,1,03,023,1,1,081,52,1,724,49,2,,,,12,2012,1,0055000,4,1,100,,,,,,,2,,2,,000562.4674,1
01,121233001752101290001290300200000200243,03,03,2,25,01,01,2010,1,67,023,1,1,039,48,1,913,32,2,,,,01,2014,1,0055000,2,1,100,,,,,,,2,,2,,000540.9725,1
01,421137001692001290001290303300000020017,02,03,2,40,01,08,2012,1,57,023,2,1,047,88,1,913,01,2,,,,88,8888,1,0080000,1,1,100,,,,,,,1,0060000,2,,000450.2037,1
01,421137001692001290001290303300000020017,05,05,2,34,02,01,2012,2,06,021,1,1,082,24,1,913,34,2,,,,01,2014,1,0030000,5,1,100,,,,,,,2,,2,,000545.5648,1
01,421137001692001290001290303300000030025,02,02,2,48,03,07,2012,2,04,021,1,1,039,23,1,913,59,2,,,,06,2014,1,0014000,1,1,100,,,,,,,1,0020000,2,,000403.0428,1
01,421137001692001290001290303300000058001,03,05,1,30,02,07,2010,2,65,023,1,1,081,24,1,215,52,1,07,2012,2,,,2,,,,,,,,,,,1,0030000,2,,000567.2423,1
01,421137001692001290001290303300000058001,04,03,2,25,01,07,2010,2,67,023,1,1,081,24,1,223,24,1,07,2012,2,,,1,0018000,1,1,100,,,,,,,1,0020000,2,,000545.5648,1
01,421137001692001290001290303300000058002,05,05,1,39,01,05,2009,2,06,023,1,1,047,88,1,913,40,2,,,,88,8888,2,,,,,,,,,,,2,,2,,000472.7937,1
01,421137001692001290001290303300000058002,06,03,2,40,01,05,2009,2,63,023,1,1,047,88,1,913,40,2,,,,88,8888,1,0052000,1,1,100,,,,,,,2,,2,,000450.2037,1
01,421137001692001290001290303300000110094,01,01,1,50,01,07,2011,2,04,832,1,1,094,21,1,723,14,2,,,,04,2013,1,0130000,1,1,100,,,,,,,2,,2,,000394.9036,1
01,421137001692001290001290303300000138008,03,03,2,41,03,04,2012,2,67,023,1,1,104,24,1,223,58,2,,,,04,2014,1,0160000,1,1,100,,,,,,,2,,2,,000450.2037,1
01,421137001692001290001290303300000140115,02,03,2,27,03,04,2012,2,67,023,1,1,081,09,1,223,44,2,,,,01,2013,1,0036000,1,1,100,,,,,,,2,,2,,000545.5648,1
01,421137001692001290001290303300000168011,03,03,2,22,01,05,2012,1,64,023,1,1,094,24,1,913,04,2,,,,05,2014,1,0015000,5,1,100,,,,,,,2,,2,,000497.3788,1
01,421137001692001290001290303300000190156,04,07,1,55,01,04,2008,2,06,832,2,1,047,88,1,832,53,2,,,,88,8888,1,0060000,1,1,100,,,,,,,2,,2,,000383.2399,1
01,421137001692001290001290303300000190156,05,07,2,51,01,04,2008,2,06,023,2,1,047,88,1,913,53,2,,,,88,8888,1,0030000,1,1,100,,,,,,,2,,2,,000403.0428,1
01,421137001692001290001290303300000258004,02,02,2,26,01,08,2012,2,04,021,1,1,082,25,1,913,01,2,,,,09,2014,2,,,,,,,,,,,2,,2,,000545.5648,1
01,421137001692001290001290303300000260209,02,03,1,39,04,09,2012,2,65,023,1,1,066,23,1,913,56,2,,,,08,2014,1,0050000,1,1,100,,,,,,,1,0030000,2,,000472.7937,1
01,421137001692001290001290303300000260209,03,05,2,39,02,09,2012,2,67,223,1,1,066,23,1,223,55,2,,,,08,2014,2,,,,,,,,,,,1,0030000,2,,000450.2037,1
01,421137001692001290001290303300000260209,05,05,1,37,02,09,2012,2,65,023,1,1,066,23,1,913,51,2,,,,08,2014,1,0020000,1,1,100,,,,,,,1,0050000,2,,000472.7937,1
01,421137001692001290001290303300000260209,06,03,2,37,03,09,2012,2,67,023,1,1,066,23,1,223,51,2,,,,08,2014,1,0045000,1,1,100,,,,,,,1,0030000,2,,000450.2037,1
01,421214001812001290001290401200000070041,01,01,1,59,09,09,2012,2,65,023,1,2,082,03,1,149,27,2,,,,12,2012,1,1293600,1,,,2,050,3,050,,,1,0323400,2,,000373.8599,1
01,421214001812001290001290401200000170105,04,03,2,49,01,08,2010,4,04,131,1,1,039,28,1,913,25,2,,,,12,2012,1,0030000,5,1,100,,,,,,,2,,2,,000393.1781,1
