REG,HHNUM,RPL,PSU,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9_USOCC,Q10_REASON,Q11_CTRY,Q12_STAY,Q13_INDWORK,Q14_OCCUP1,Q15_NOMONTH,Q16_RET,Q17_DTRET,Q18_DTEXP,Q19_CASHREM,Q20_CASHAMT,Q21_MODE,Q22_RET6MOS,Q23_CASHHOME,Q24_INKIND,Q25_KINDAMT,SWGT,P6M_IND
01,00001,1,00010,02,02,2,31,01,082002,2,05,0210,1,213,36,1,9141,36,1,082005,      ,1,033000,1,1,120000,2,      ,000431.0121,1
01,00002,1,00010,03,03,2,28,01,112002,1,65,2231,1,213,36,1,9322,34,2,      ,112005,1,015000,1,2,      ,2,      ,000431.0121,1
01,00003,3,00020,05,08,2,27,02,012005,2,05,0210,1,222,36,1,9131,30,2,      ,122007,1,007500,4,2,      ,2,      ,000431.9969,1
01,00004,2,00021,02,02,2,36,05,122004,2,65,0210,1,213,12,1,2231,45,2,      ,122005,1,040000,4,2,      ,2,      ,000377.8870,1
01,00005,2,00021,03,03,2,39,02,112004,1,01,9131,1,211,24,1,9131,37,2,      ,112006,1,025000,4,2,      ,2,      ,000377.8870,1
01,00006,2,00021,02,02,2,36,02,072004,2,04,0210,1,211,24,1,9131,41,2,      ,042006,1,015000,4,2,      ,2,      ,000377.8870,1
01,00007,3,00032,01,01,1,50,05,092005,2,68,0232,1,212,09,1,7233,36,2,      ,062006,2,      , ,1,250000,2,      ,000345.2428,1
01,00008,3,00032,02,02,2,40,03,092004,2,04,0210,1,211,24,1,9131,53,2,      ,082006,1,035000,1,2,      ,2,      ,000380.1894,1
01,00009,1,00042,02,02,2,37,02,012003,2,61,0210,1,500,36,2,    ,  ,2,      ,012007,1,025000,1,2,      ,2,      ,000379.3260,2
01,00010,4,00055,04,05,2,34,02,092005,2,05,0210,1,211,24,1,9131,60,2,      ,082007,1,030000,1,1,025000,2,      ,000432.3252,1
01,00011,4,00055,02,02,2,53,02,082002,2,04,0210,1,400,38,1,5131,60,2,      ,102005,1,080000,1,2,      ,2,      ,000350.9285,1
01,00012,4,00055,03,03,2,22,01,072005,1,64,0210,3,400,88,1,9131,02,2,      ,888888,1,035000,1,2,      ,2,      ,000412.7797,1
01,00013,1,00057,01,01,1,35,12,032004,2,65,0920,1,222,24,1,1430,45,2,      ,032006,2,      , ,2,      ,2,      ,000371.1452,1
01,00014,1,00057,03,03,2,38,01,032003,1,05,5220,1,213,36,1,9131,30,2,      ,032006,1,075000,1,2,      ,1,015000,000378.7504,1
01,00015,1,00057,81,08,2,36,01,062005,1,05,0210,6,500,88,2,    ,  ,2,      ,888888,2,      , ,2,      ,2,      ,000361.0775, 
01,00015,1,00057,82,08,1,11,01,062005,1,01,0231,6,500,88,2,    ,  ,2,      ,888888,2,      , ,2,      ,2,      ,000361.0775, 
01,00015,1,00057,83,08,2,09,01,062005, ,01,    ,6,500,88,2,    ,  ,2,      ,888888,2,      , ,2,      ,2,      ,000361.0775, 
01,00015,1,00057,84,08,1,04,01,062005, ,00,    ,6,500,88,2,    ,  ,2,      ,888888,2,      , ,2,      ,2,      ,000361.0775, 
01,00015,1,00057,85,08,2,34,01,062005,1,65,0920,6,500,88,2,    ,  ,2,      ,888888,2,      , ,2,      ,2,      ,000361.0775, 
01,00016,2,00052,03,05,1,32,01,092005,2,05,9312,1,223,24,1,8163,01,2,      ,092007,2,      , ,2,      ,2,      ,000440.4477,1
01,00017,2,00052,03,03,2,25,01,012005,1,64,0210,1,231,24,1,9131,08,2,      ,012007,1,006000,1,2,      ,2,      ,000446.0279,1
01,00017,2,00052,04,03,1,23,02,072004,1,65,9211,1,400,24,1,2154,24,2,      ,072006,1,060000,1,1,025000,1,002000,000393.2678,1
01,00018,3,00067,02,02,2,45,01,082004,2,05,9112,1,231,31,1,9131,13,2,      ,032007,1,031000,1,2,      ,2,      ,000350.9285,1
01,00019,3,00067,02,08,1,30,03,092005,2,05,9151,1,400,15,1,8340,45,2,      ,122006,2,      , ,1,120000,2,      ,000426.9165,1
01,00019,3,00067,03,08,2,30,01,082001,2,61,0210,1,211,20,1,9131,24,1,042003,      ,2,      , ,2,      ,2,      ,000432.3252,2
01,00020,3,00067,02,02,2,43,01,042002,2,05,9112,1,211,44,1,9131,41,2,      ,122005,1,026000,4,2,      ,1,002000,000379.0382,1
01,00021,3,00085,03,03,1,39,05,042005,2,65,2231,1,500,88,1,2231,60,2,      ,888888,1,020000,1,1,100000,1,012000,000384.0138,1
01,00022,3,00085,03,03,2,25,02,122002,1,63,0210,1,213,36,1,7434,34,2,      ,122005,1,070000,4,2,      ,2,      ,000446.9755,1
01,00022,3,00085,04,03,1,23,01,052005,1,05,7141,1,213,24,1,8290,04,2,      ,052007,1,053000,4,2,      ,2,      ,000394.1033,1
01,00023,3,00085,05,08,2,40,02,092005,2,63,5220,1,212,88,1,9131,60,2,      ,888888,1,020000,4,1,075000,1,015000,000391.8828,1
01,00024,4,00107,02,08,2,30,02,022003,2,67,0210,1,211,24,1,9131,48,1,032005,      ,2,      , ,2,      ,2,      ,000432.6534,2
01,00025,4,00107,03,03,2,30,01,092003,1,04,0210,1,211,25,1,9131,13,2,      ,102005,1,012000,1,2,      ,2,      ,000432.6534,1
01,00026,4,00107,01,01,1,54,03,062004,2,05,1314,1,211,22,1,9131,40,2,      ,042006,1,009000,1,2,      ,2,      ,000344.4587,1
01,00026,4,00107,02,02,2,51,03,062004,2,05,0210,1,211,24,1,9131,40,2,      ,042006,1,009000,1,2,      ,2,      ,000351.1950,1
01,00027,4,00107,03,03,1,32,02,022004,2,05,0232,1,213,24,1,8290,40,2,      ,032006,1,012000,1,2,      ,2,      ,000427.2406,1
01,00027,4,00107,04,05,2,26,01,072005,2,05,0210,1,211,24,1,9131,03,2,      ,082007,2,      , ,2,      ,2,      ,000432.6534,1
01,00027,4,00107,07,05,1,34,02,102004,2,05,6111,1,211,24,1,9131,28,2,      ,112006,1,012000,1,2,      ,2,      ,000427.2406,1
