REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,DTLEFTM,DTLEFTY,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,DTRETM,DTRETY,DTEXPM,DTEXPY,CASHREM,CASHAMT,MODE,RET6MOS,CASHHOME,INKIND,KINDAMT,SWGT
01,33,1,0807,2,1,41,02,02,1998,2,6,855,1,081,36,1,855,58,2,  ,    ,02,2001,1,074000,4,2,      ,2,      ,0135.2873
01,33,2,0817,3,2,28,02,09,1997,1,5,Z20,1,039,39,1,541,60,2,  ,    ,12,2000,1,015000,4,2,      ,1,000740,0401.0180
01,33,2,0817,3,2,26,01,08,1999,1,5,490,1,039,16,1,541,12,2,  ,    ,12,2000,1,010000,4,2,      ,2,      ,0401.0180
01,33,2,0822,3,1,36,01,12,1997,1,4,611,1,081,36,1,614,33,2,  ,    ,12,2000,1,004000,4,2,      ,2,      ,0401.0180
01,33,2,0822,4,1,30,01,06,2000,2,4,859,1,081,24,1,859,03,2,  ,    ,06,2002,1,008000,4,2,      ,2,      ,0401.0180
01,33,2,0833,3,2,22,01,04,1998,1,4,Z20,1,082,24,1,541,12,1,04,1999,  ,    ,2,      , ,2,      ,2,      ,0401.0161
01,33,2,0833,3,2,25,01,12,1998,1,6,Z20,1,089,36,1,778,22,2,  ,    ,12,2001,1,090000,1,2,      ,2,      ,0401.0161
01,33,2,0838,6,2,54,02,02,1999,4,3,791,1,039,24,1,541,60,2,  ,    ,02,2002,1,018000,1,2,      ,1,002000,0401.0161
01,33,2,0862,3,2,26,01,11,1999,1,7,Z20,1,039,24,1,541,10,2,  ,    ,11,2001,1,030000,1,2,      ,2,      ,0401.0163
01,33,2,0907,3,2,40,02,06,2000,1,6,541,1,046,36,1,541,36,2,  ,    ,07,2003,1,018000,1,2,      ,1,004000,0437.4716
01,33,2,0914,2,2,42,03,01,1997,2,4,Z20,1,094,05,1,531,18,1,06,2000,  ,    ,1,010000,1,1,080000,2,      ,0401.0160
01,33,2,0914,3,1,23,05,08,2000,1,4,985,1,094,88,1,985,44,2,  ,    ,08,2002,2,      , ,2,      ,2,      ,0401.0160
01,33,2,0914,3,2,22,02,07,2000,1,4,Z20,1,094,24,1,325,29,2,  ,    ,06,2002,2,      , ,1,888888,2,      ,0401.0160
01,33,2,0915,3,2,27,03,03,2000,1,4,Z20,1,039,24,1,541,54,2,  ,    ,03,2002,2,      , ,2,      ,2,      ,0401.0160
01,33,2,0954,2,2,35,01,09,2000,2,4,Z20,1,039,24,1,541,00,2,  ,    ,07,2002,2,      , ,2,      ,2,      ,0401.0156
01,33,2,0956,3,2,34,01,09,2000,1,6,Z20,1,089,24,1,946,00,2,  ,    ,09,2002,2,      , ,2,      ,2,      ,0401.0156
01,33,2,0956,3,1,22,01,01,2000,1,4,Z90,1,035,24,1,981,08,1,09,2000,  ,    ,1,040000,1,1,054000,2,      ,0401.0156
