RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18_DTRET,RQ19_REASON,RQ20_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
14,0026,025,00156,03,03,2,53,03,052017,3,004,09,1,1,222,24,1,91,52,2,      , ,052019,1,0025000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0021000,000180.7740,1
14,0027,025,00156,07,04,2,52,02,012016,1,004,09,1,1,211,24,1,91,44,2,      , ,012018,1,0006000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0015000,000180.7740,1
14,0028,028,00141,03,03,2,25,01,102016,1,004,91,1,1,213,36,1,91,11,2,      , ,102019,1,0050000,5,1,075,2,010,3,015, ,   , ,   ,2,       ,2,       ,000192.6971,1
14,0029,028,00141,02,02,2,36,01,072017,2,004,51,1,1,232,24,1,91,02,2,      , ,072019,1,0038000,5,1,070,2,005,3,025, ,   , ,   ,2,       ,2,       ,000172.9029,1
14,0030,025,00114,02,03,2,36,02,042015,1,848,09,1,1,234,48,1,91,53,2,      , ,042019,1,0030000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000201.6536,1
14,0031,025,00114,05,02,2,54,01,052015,2,852,09,1,1,211,48,1,91,28,2,      , ,052019,1,0050000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000176.4873,1
14,0032,025,00114,03,03,1,32,01,012016,1,876,09,1,1,500,48,1,53,20,2,      , ,012020,1,0040000,1, ,   ,2,100, ,   , ,   , ,   ,2,       ,2,       ,000227.1074,1
14,0033,027,00154,02,02,2,30,01,042016,2,008,09,1,1,232,24,1,91,17,2,      , ,042018,1,0055000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000201.5434,1
14,0034,027,00154,08,03,2,30,01,032016,1,004,92,1,1,211,36,1,91,18,2,      , ,032019,1,0056000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000201.5434,1
14,0035,027,00154,02,02,2,42,01,122016,2,008,09,1,1,232,36,1,91,09,2,      , ,122019,1,0045000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000180.8404,1
16,0036,025,00159,04,05,1,42,05,042017,2,884,09,1,2,214,07,1,83,43,2,      , ,112017,1,0120000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000222.5196,1
16,0037,028,00149,04,05,1,40,03,042017,2,814,23,1,1,223,24,1,23,54,2,      , ,042019,1,0060000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0005000,000218.5121,1
16,0038,028,00149,06,03,2,39,01,122016,3,648,33,1,1,232,24,1,91,09,2,      , ,122018,1,0050000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000200.1126,1
16,0039,025,00020,07,02,1,36,01,022013,2,004,72,1,1,234,60,1,72,55,2,      , ,022018,1,0060000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000173.7444,1
16,0040,025,00020,02,02,1,48,02,072016,2,852,09,1,1,233,16,1,21,48,2,      , ,112017,1,0270000,5,1,050, ,   ,3,050, ,   , ,   ,2,       ,2,       ,000217.5481,1
16,0041,025,00020,01,01,1,46,03,062016,2,852,21,1,1,234,12,1,21,55,1,062017,2,      ,1,0100000,1,1,050,2,050, ,   , ,   , ,   ,1,0510000,1,0285000,000217.5481,1
16,0042,025,00020,06,02,1,41,02,112016,2,834,09,1,1,234,24,1,24,43,2,      , ,112018,1,0120000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0032000,000173.7444,1
16,0043,025,00128,03,03,1,25,01,122015,1,848,41,1,1,232,24,1,51,21,2,      , ,122017,1,0028000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000198.6990,1
16,0044,026,00248,05,03,2,30,01,022017,1,008,91,1,1,233,12,1,91,07,2,      , ,022018,2,       , , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000176.8147,1
16,0045,026,00248,01,01,2,52,05,062017,2,004,35,2, ,300,12,1,92,60,2,      , ,062018,1,0006300,5,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0005500,000178.6086,1
16,0046,026,00248,04,02,1,33,04,052017,2,884,82,1,2,212,08,1,83,33,2,      , ,012018,1,0175000,1,1,050, ,   ,3,050, ,   , ,   ,2,       ,2,       ,000196.7184,1
16,0047,026,00248,03,03,2,37,01,092016,3,008,14,2, ,400,88,1,53,12,2,      , ,888888,1,0018500,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000184.9635,1
16,0048,028,00103,04,03,2,32,01,032016,1,004,52,1,1,223,24,1,91,18,2,      , ,032018,1,0025000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000173.1678,1
16,0049,028,00103,01,01,1,26,02,022017,2,003,92,1,1,232,24,1,91,42,2,      , ,022019,1,0079000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000192.6610,1
16,0050,028,00103,04,02,2,39,01,012017,2,003,41,1,1,232,24,1,91,08,2,      , ,012019,1,0090000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000181.1485,1
16,0051,025,00236,02,05,1,42,04,102016,2,884,51,1,2,214,08,1,31,35,1,062017,2,      ,1,0080000,1,1,085, ,   ,3,010,4,005, ,   ,1,0500000,1,0002500,000159.4537,1
16,0052,025,00056,03,08,1,27,01,092016,2,852,43,1,2,214,09,1,83,09,1,062017,2,      ,1,0020000,1,1,100, ,   , ,   , ,   , ,   ,1,0100000,2,       ,000192.1675,1
16,0053,025,00056,04,02,2,29,01,012017,2,004,52,1,1,232,24,1,53,08,2,      , ,012019,1,0013500,3,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000172.7243,1
16,0054,025,00056,06,03,1,25,02,122016,1,884,96,1,2,214,09,1,83,15,1,092017,2,      ,1,0085000,1,1,100, ,   , ,   , ,   , ,   ,1,0150000,2,       ,000192.1675,1
16,0055,025,00056,01,01,1,54,02,112016,2,003,61,1,1,233,24,1,83,56,2,      , ,112018,1,0060000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000204.8865,1
16,0056,026,00104,03,03,2,33,02,092015,1,872,22,1,1,233,36,1,22,60,2,      , ,092018,1,0200000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0010000,000176.5704,1
16,0057,027,00105,02,02,1,30,01,012017,2,004,52,1,1,233,24,1,52,08,2,      , ,012019,1,0063000,5,1,095, ,   ,3,005, ,   , ,   ,2,       ,1,0007500,000222.5924,1
16,0058,027,00105,06,11,2,25,01,072017,1,004,51,1,1,232,24,1,91,02,2,      , ,072019,1,0046000,5,1,085, ,   , ,   , ,   ,5,015,2,       ,1,0002200,000200.0708,1
16,0059,027,00285,04,03,1,21,01,102015,1,004,61,1,1,212,36,1,91,23,2,      , ,102018,1,0108000,5,1,050,2,050, ,   , ,   , ,   ,2,       ,2,       ,000218.2914,1
16,0060,026,00140,04,03,2,35,01,092017,2,004,93,1,1,231,24,1,91,00,2,      , ,092019,2,       , , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000179.7913,1
16,0061,028,00211,02,02,1,36,05,062017,2,834,14,1,2,500,06,1,83,56,2,      , ,122017,1,0120000,1,1,030,2,060,3,010, ,   , ,   ,2,       ,2,       ,000159.3612,1
16,0062,028,00211,02,02,2,34,01,042013,5,008,33,1,1,235,24,1,53,24,1,042015,2,      ,2,       , , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000168.2159,2
16,0063,028,00211,01,01,1,44,01,122012,2,852,52,1,1,234,39,1,24,39,1,032016,2,      ,2,       , , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000159.3612,2
16,0064,028,00211,02,02,1,42,05,092017,2,884,09,1,2,400,09,1,83,60,2,      , ,062018,2,       , , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000159.3612,1
16,0065,026,00176,02,03,1,36,01,102015,1,662,33,1,1,231,36,1,96,23,2,      , ,102018,1,0056000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,1,0009000,000162.3190,1
16,0066,026,00176,08,08,2,55,02,012017,3,008,52,2,1,500,48,1,53,55,2,      , ,012021,1,0170000,1,1,085, ,   ,3,010,4,005, ,   ,2,       ,2,       ,000127.9573,1
16,0067,027,00141,05,02,1,38,06,062017,2,884,83,1,2,500,07,1,83,42,1,072017,2,      ,1,0120000,1,1,080,2,010,3,010, ,   , ,   ,1,0100000,2,       ,000183.6726,1
16,0068,027,00141,01,01,1,54,05,032017,2,884,83,1,2,500,09,1,83,60,2,      , ,122017,1,0300000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000229.9794,1
16,0069,027,00141,01,01,1,42,03,042017,2,884,83,1,2,400,09,1,83,30,2,      , ,012018,1,0400000,1,1,070,2,010,3,010,4,010, ,   ,2,       ,2,       ,000183.6726,1
16,0070,026,00068,01,01,2,70,01,042016,3,004,09,2,1,212,32,1,91,17,2,      , ,122018,1,0120000,1,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000113.9987,1
16,0071,026,00284,03,03,2,28,01,092016,1,008,92,1,1,231,24,1,91,12,2,      , ,092018,1,0028000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000168.2159,1
16,0072,025,00063,02,03,2,25,01,042014,1,648,52,1,1,213,36,1,82,36,1,042017,2,      ,2,       , , ,   , ,   , ,   , ,   , ,   ,1,0100000,2,       ,000282.2970,1
16,0072,025,00063,05,03,2,28,01,042016,1,004,32,1,1,213,36,1,82,17,2,      , ,042019,1,0036000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000282.2970,1
16,0073,025,00063,03,03,2,40,01,122015,1,004,91,1,1,232,27,1,91,21,2,      , ,032018,1,0060000,5,1,100, ,   , ,   , ,   , ,   ,2,       ,2,       ,000216.8899,1
16,0073,025,00063,04,03,1,27,01,102015,1,004,71,1,1,231,31,1,73,23,2,      , ,052018,2,       , , ,   , ,   , ,   , ,   , ,   ,2,       ,2,       ,000357.5838,1
