REG,HHID,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6M_DTLEFT,Q6Y_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q8A_VOC,Q9USOCC,Q10_REASON,Q11_BASE,Q12_CTRY,Q13_STAY,Q14_INDWORK,Q15OCC,Q16_NOMONTH,Q17_RET,Q18M_DTRET,Q18Y_DTRET,Q19_REASON,Q20M_DTEXP,Q20Y_DTEXP,Q21_CASHREM,Q22_CASHAMT,Q23_MODE,Q241C_CONSUM,Q241P_CONSUM,Q242C_INVEST,Q242P_INVEST,Q243C_SAVINGS,Q243P_SAVINGS,Q244C_OTHERS,Q244P_OTHERS,Q25_RET6MOS,Q26_CASHHOME,Q27_INKIND,Q28_KINDAMT,SWGT,P6M_IND
01,422112001072001280001281600400000130282,06,05,1,31,02,05,2010,2,63,2,932,1,1,089,36,1,829,48,2,,,,05,2013,1,0047000,1,1,080,2,015,3,005,,,2,,2,,000554.7895,1
01,221222001131601280001281700200000020017,02,02,2,39,02,04,2009,2,05,1,021,1,1,018,36,1,913,28,2,,,,04,2012,1,0052000,1,1,080,,,3,020,,,2,,2,,000453.3050,1
01,221222001131601280001281700200000050047,03,03,2,38,02,12,2008,1,04,2,021,1,1,039,36,1,913,33,2,,,,12,2011,1,0048000,1,1,040,2,020,3,040,,,2,,2,,000453.3050,1
01,221222001131601280001281700200000060057,03,03,2,34,01,05,2010,1,64,2,021,1,1,082,24,1,913,16,2,,,,05,2012,1,0040000,1,1,050,,,3,050,,,2,,2,,000570.5383,1
01,221222001131601280001281700200000090086,04,03,2,32,02,07,2010,1,05,2,921,1,1,039,29,1,913,19,2,,,,12,2012,1,0040500,1,1,040,2,020,3,040,,,2,,2,,000570.5383,1
01,221222001131601280001281700200000100096,04,03,1,32,01,05,2009,1,05,2,921,1,1,089,36,1,932,28,2,,,,05,2012,1,0060000,1,1,030,2,030,3,040,,,2,,2,,000554.3686,1
01,221314001231601280001281801500000010008,07,03,2,36,02,12,2010,1,04,2,913,1,1,082,24,1,913,60,2,,,,12,2012,1,0036000,5,1,100,,,,,,,2,,2,,000452.9608,1
01,221314001231601280001281801500000090140,08,03,2,31,02,12,2010,1,05,2,921,1,1,039,24,1,913,60,2,,,,12,2012,1,0015000,2,1,100,,,,,,,2,,2,,000570.1051,1
01,221314001231601280001281801500000180284,08,04,2,56,01,01,2010,1,63,2,414,1,1,018,47,1,513,20,2,,,,12,2013,1,0048000,5,1,100,,,,,,,2,,2,,000363.2394,1
01,221314001231601280001281801500000180284,09,04,2,55,01,01,2011,1,05,1,522,1,1,095,35,1,913,08,2,,,,12,2013,1,0048000,5,1,100,,,,,,,2,,2,,000363.2394,1
