RREG,HHNUM,RRPL,RSTR,RPSU,RROTATION,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18M_DTRET,RQ18Y_DTRET,RQ19_REASON,RQ20M_DTEXP,RQ20Y_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
01,0028,2,22231,00052,26,01,01,1,42,01,06,2012,3,04,611,1,1,234,48,1,721,39,2,,,,06,2016,2,,,,,,,,,,,,,2,,2,,000480.3177,1
01,0029,4,21231,00055,28,03,03,2,25,01,05,2012,1,67,223,1,1,234,60,1,223,40,2,,,,05,2017,1,0010000,1,1,090,,,3,010,,,,,2,,1,0003000,000540.8227,1
01,0030,4,21231,00055,28,01,01,1,40,02,05,2013,2,66,832,1,1,234,36,1,232,22,2,,,,05,2016,1,0142000,1,1,040,2,060,,,,,,,2,,1,0060000,000478.8633,1
01,0031,4,21231,00055,28,02,02,2,27,01,09,2015,2,04,921,1,1,222,24,1,913,00,2,,,,09,2017,2,,,,,,,,,,,,,2,,2,,000540.8227,1
01,0032,1,21323,00057,26,02,03,2,25,01,01,2013,1,04,522,1,1,231,33,1,913,32,2,,,,10,2015,1,0054000,1,1,060,,,3,040,,,,,2,,1,0007000,000540.4120,1
01,0033,1,21323,00057,26,02,03,2,58,01,05,2013,3,61,234,1,1,400,48,1,513,28,2,,,,05,2017,1,0030000,1,1,100,,,,,,,,,2,,1,0012700,000344.5821,1
01,0034,1,21323,00057,26,02,03,2,45,01,06,2014,2,06,021,1,1,231,24,1,913,15,2,,,,06,2016,1,0048000,5,1,090,,,3,010,,,,,2,,1,0010000,000394.4685,1
01,0035,3,21110,00085,28,01,01,1,49,01,07,2013,2,06,511,1,1,231,26,1,713,26,1,09,2015,2,,,1,0120000,1,1,075,,,3,025,,,,,1,0030000,2,,000411.3244,1
01,0036,3,21110,00085,28,03,03,1,27,01,06,2015,1,67,223,1,1,233,24,1,223,03,2,,,,06,2017,1,0040000,1,1,100,,,,,,,,,2,,2,,000512.6429,1
01,0037,4,21102,00092,28,05,03,2,21,01,03,2013,1,06,023,5,,500,03,2,,,1,06,2013,3,,,2,,,,,,,,,,,,,2,,2,,000497.0529,2
01,0037,4,21102,00092,28,06,03,2,20,01,03,2015,1,63,023,5,,500,03,2,,,1,06,2015,3,,,2,,,,,,,,,,,,,1,0020000,2,,000497.0529,2
01,0038,4,21102,00092,28,03,03,2,22,01,08,2014,1,04,913,4,,212,03,2,,,1,11,2014,3,,,2,,,,,,,,,,,,,2,,2,,000497.0529,2
01,0038,4,21102,00092,28,07,03,2,24,01,12,2014,1,67,422,1,1,233,24,1,223,09,2,,,,12,2016,1,0069500,1,1,090,,,3,010,,,,,2,,2,,000497.0529,1
01,0039,4,21102,00092,28,02,02,2,30,01,02,2015,5,04,522,1,1,232,24,1,913,07,2,,,,02,2017,1,0091000,4,1,090,,,3,010,,,,,2,,2,,000539.1801,1
01,0040,4,21102,00092,28,03,08,1,31,01,05,2013,2,06,516,1,1,213,36,1,741,28,2,,,,05,2016,1,0090000,1,1,090,,,3,010,,,,,2,,2,,000512.6429,1
01,0041,3,21206,00067,28,02,02,2,27,01,07,2014,2,04,522,1,1,231,24,1,913,14,2,,,,07,2016,1,0042000,5,1,100,,,,,,,,,2,,2,,000565.4055,1
01,0042,3,21206,00067,28,03,03,2,26,01,03,2013,1,06,021,1,1,231,29,1,913,29,1,08,2015,2,,,1,0024000,5,1,100,,,,,,,,,1,0011200,2,,000565.4055,1
01,0043,3,21206,00067,28,08,03,2,29,01,09,2013,4,04,021,1,1,233,27,1,913,24,2,,,,12,2015,1,0010000,5,1,100,,,,,,,,,2,,2,,000565.4055,1
01,0044,3,21206,00067,28,02,02,2,32,01,08,2014,2,03,131,1,1,231,24,1,913,13,2,,,,08,2016,1,0045000,5,1,100,,,,,,,,,2,,2,,000565.4055,1
01,0045,3,21206,00067,28,02,02,2,33,01,12,2012,2,61,021,1,1,500,36,1,913,33,2,,,,12,2015,1,0010000,1,1,100,,,,,,,,,2,,2,,000565.4055,1
01,0046,4,22223,00099,28,03,03,1,25,04,04,2015,1,68,023,1,2,212,10,1,834,43,2,,,,02,2016,1,0025000,1,1,090,,,3,010,,,,,2,,2,,000515.7664,1
