RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18M_DTRET,RQ18Y_DTRET,RQ19_REASON,RQ20M_DTEXP,RQ20Y_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
01,0018,009,00001,93,08,1,35,01,10,2013,1,65,215,6,,500,36,1,215,35,2,,,,10,2016,2,,,,,,,,,,,,,2,,2,,000309.6679,
01,0018,009,00001,94,08,2,32,01,10,2013,1,63,091,6,,500,28,1,911,28,1,02,2016,1,,,2,,,,,,,,,,,,,2,,2,,000309.6679,
01,0019,010,00248,02,03,2,36,02,05,2016,1,57,093,1,1,234,48,1,515,53,2,,,,05,2020,1,0054000,1,1,100,,,,,,,,,2,,2,,000314.2152,1
01,0020,010,00248,04,05,2,33,02,12,2015,2,06,523,1,1,222,24,1,911,33,2,,,,12,2017,1,0018000,5,1,100,,,,,,,,,2,,2,,000391.2147,1
01,0021,010,00248,08,02,2,43,01,04,2013,2,04,091,1,1,233,48,1,514,41,2,,,,04,2017,1,0030000,5,1,100,,,,,,,,,2,,2,,000314.2152,1
01,0021,010,00248,09,03,2,25,01,07,2016,1,04,514,1,1,233,12,1,514,02,2,,,,07,2017,1,0005000,5,1,100,,,,,,,,,2,,2,,000391.2147,1
01,0022,010,00248,04,05,2,51,01,01,2016,2,06,091,1,1,211,24,1,911,08,2,,,,01,2018,1,0077000,1,1,050,2,050,,,,,,,2,,2,,000335.4246,1
01,0023,010,00248,02,03,1,46,02,04,2016,2,55,723,1,1,234,24,1,723,41,2,,,,04,2018,1,0125000,1,1,100,,,,,,,,,2,,2,,000299.0088,1
01,0023,010,00248,03,05,2,45,01,08,2012,2,63,411,1,1,231,60,1,412,49,2,,,,08,2017,2,,,,,,,,,,,,,2,,2,,000335.4246,1
01,0024,009,00100,81,03,1,32,01,02,2015,2,65,611,6,,500,36,1,731,19,2,,,,02,2018,1,0066000,5,,,,,,,,,5,100,2,,2,,000319.4866,
01,0024,009,00100,82,06,2,11,01,02,2015,1,01,093,5,,500,88,2,,,2,,,,88,8888,2,,,,,,,,,,,,,2,,2,,000319.4866,2
01,0024,009,00100,83,06,2,08,01,02,2015,1,01,,5,,500,88,2,,,2,,,,88,8888,2,,,,,,,,,,,,,2,,2,,000319.4866,2
01,0025,009,00100,04,02,2,27,01,03,2016,2,04,091,1,1,234,24,1,911,06,2,,,,03,2018,1,0021000,5,1,100,,,,,,,,,2,,2,,000417.8884,1
01,0026,009,00100,11,03,2,31,01,02,2014,2,04,522,1,1,221,36,1,911,31,2,,,,02,2017,1,0024000,5,1,100,,,,,,,,,2,,2,,000417.8884,1
01,0027,012,00077,05,03,1,34,01,10,2013,1,04,921,1,1,233,48,1,817,35,2,,,,10,2017,1,0060000,1,1,100,,,,,,,,,2,,2,,000326.7087,1
01,0028,012,00077,03,03,1,26,01,04,2014,2,04,921,1,1,233,36,1,832,29,2,,,,04,2017,1,0090000,1,1,100,,,,,,,,,2,,2,,000326.7087,1
01,0028,012,00077,04,05,2,28,01,02,2016,2,68,522,1,1,231,24,1,911,07,2,,,,02,2018,1,0060000,1,1,100,,,,,,,,,2,,2,,000355.6497,1
01,0029,012,00077,02,02,2,46,03,07,2016,2,67,921,1,1,234,24,1,911,50,2,,,,07,2018,1,0030000,1,1,090,,,3,010,,,,,1,0050000,1,0017000,000304.9314,1
01,0029,012,00077,03,03,2,21,01,02,2016,1,68,522,1,1,234,24,1,911,07,2,,,,02,2018,1,0012000,1,1,090,,,,,4,010,,,2,,2,,000264.3828,1
01,0030,012,00275,01,01,2,38,01,08,2016,4,64,524,1,1,232,36,1,531,01,2,,,,08,2019,2,,,,,,,,,,,,,2,,2,,000295.1719,1
01,0031,012,00275,06,03,2,28,02,11,2014,1,63,091,1,1,211,48,1,911,51,2,,,,11,2018,1,0060000,1,1,100,,,,,,,,,2,,2,,000367.5047,1
01,0031,012,00275,02,02,2,48,03,05,2015,2,04,091,1,1,500,36,1,911,52,2,,,,05,2018,1,0090000,1,1,100,,,,,,,,,2,,2,,000315.0958,1
01,0032,012,00275,06,03,1,27,01,01,2014,2,04,921,1,1,213,36,1,821,32,2,,,,01,2017,1,0060000,5,1,050,,,3,050,,,,,2,,2,,000337.5990,1
01,0032,012,00275,03,05,2,29,01,04,2013,2,63,754,1,1,213,24,1,821,24,1,04,2015,2,,,1,0090000,1,1,050,,,3,050,,,,,2,,2,,000367.5047,2
01,0033,012,00275,04,03,1,31,01,03,2016,2,04,112,8,,223,01,2,,,1,04,2016,3,,,2,,,,,,,,,,,,,1,0000000,2,,000337.5990,2
01,0033,012,00275,05,05,2,27,01,03,2016,2,61,091,8,,223,01,2,,,1,04,2016,3,,,2,,,,,,,,,,,,,1,0000000,2,,000367.5047,2
01,0033,012,00275,07,03,1,30,01,03,2016,2,06,112,8,,223,01,2,,,1,04,2016,3,,,2,,,,,,,,,,,,,1,0000000,2,,000337.5990,2
01,0034,012,00275,01,01,1,38,01,06,2014,2,04,931,1,1,213,36,1,712,27,2,,,,06,2017,1,0090000,1,1,100,,,,,,,,,2,,2,,000316.4901,1
01,0035,012,00275,02,02,2,49,02,10,2015,2,04,091,1,1,211,24,1,911,57,2,,,,10,2017,1,0060000,1,1,070,,,3,030,,,,,2,,2,,000315.0958,1
01,0035,012,00275,05,05,2,30,01,08,2016,2,04,091,1,1,233,24,1,911,01,2,,,,08,2018,2,,,,,,,,,,,,,2,,2,,000367.5047,1
01,0036,012,00275,01,01,1,43,02,07,2014,2,61,093,1,1,233,36,1,333,54,2,,,,07,2017,1,0120000,1,1,100,,,,,,,,,2,,2,,000316.4901,1
01,0036,012,00275,02,02,2,40,01,07,2014,2,06,091,1,1,233,36,1,911,26,2,,,,07,2017,1,0030000,1,1,100,,,,,,,,,2,,2,,000295.1719,1
01,0037,011,00054,02,02,2,35,02,09,2014,2,61,091,1,1,234,24,1,911,48,1,12,2015,1,,,1,0055000,1,1,100,,,,,,,,,2,,2,,000420.5406,2
01,0038,011,00054,06,06,1,28,01,04,2016,1,67,093,1,1,300,24,1,332,05,2,,,,04,2018,2,,,,,,,,,,,,,2,,2,,000480.9878,1
01,0039,011,00054,02,03,2,42,02,04,2015,1,04,091,1,1,211,24,1,911,41,2,,,,04,2017,1,0023000,5,1,100,,,,,,,,,2,,1,0006500,000420.5406,1
01,0040,012,00176,03,05,1,34,01,10,2014,2,04,833,1,1,233,36,1,833,23,2,,,,10,2017,2,,,,,,,,,,,,,2,,2,,000323.3055,1
01,0040,012,00176,04,03,2,28,01,02,2013,2,66,412,1,1,233,39,1,515,39,1,05,2016,2,,,1,0012000,1,1,100,,,,,,,,,1,0200000,2,,000351.9451,1
01,0041,012,00176,05,08,2,29,01,08,2012,1,58,091,1,1,211,26,1,911,26,1,10,2014,2,,,2,,,,,,,,,,,,,2,,2,,000351.9451,2
01,0042,012,00176,03,04,2,51,01,09,2015,1,90,221,8,,223,01,2,,,1,10,2015,3,,,2,,,,,,,,,,,,,2,,2,,000301.7551,2
01,0043,010,00149,02,03,2,74,05,10,2015,1,04,142,1,1,233,24,1,531,60,2,,,,10,2017,1,0115000,5,1,040,,,3,060,,,,,2,,1,0065000,000277.4176,1
