REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,MOLEFT,YRLEFT,MSTAT,GRADE,USOCC,REASON,CTRY,STAY,WORK,OCUP,NOMONTH,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,33,1,628,2,2,35,1,11,95,2,2,425,1,82,24,1,541,3,1,2,96,,,2,,,,2,,314.0121
1,33,1,634,1,1,44,2,4,97,2,6,985,1,81,24,1,959,41,1,6,98,,,2,,,,2,,314.0121
1,33,2,830,3,2,24,1,9,97,1,4,Z20,1,82,24,1,541,10,1,8,98,,,2,,,,2,,672.8764
1,33,2,835,3,2,26,3,4,99,1,7,Z20,1,81,24,1,066,36,2,,,4,2000,1,12000,4,80000,1,29400,672.8764
1,33,2,840,1,1,28,1,1,96,2,4,872,1,81,12,1,872,12,1,2,97,,,2,,,,2,,672.8764
1,33,2,863,3,2,24,1,9,97,1,4,541,1,82,24,1,541,10,1,7,98,,,2,,,,2,,672.8769
1,33,1,716,3,2,29,2,9,97,1,7,451,1,94,24,1,532,56,2,,,10,1999,1,35400,1,,2,,376.8147
1,33,1,717,2,2,33,4,6,99,2,5,451,1,82,24,1,541,46,2,,,1,2001,1,4000,4,,2,,376.8147
1,33,1,725,1,1,48,2,4,98,2,2,621,1,81,88,1,985,60,2,,,88,8888,1,49200,1,,1,29000,314.0121
1,33,1,727,1,1,51,5,5,99,2,4,871,1,81,12,1,871,42,2,,,5,2000,1,32000,4,19500,2,,314.0121
1,33,1,728,3,2,44,2,4,99,2,4,412,1,82,88,1,541,42,2,,,88,8888,1,22500,1,7000,1,36000,314.0121
1,33,1,762,2,2,29,2,2,98,2,4,Z20,1,82,24,1,541,42,2,,,12,1999,2,,,,2,,428.4605
1,33,1,796,3,2,34,2,8,99,1,7,Z20,1,89,24,1,541,27,2,,,8,2001,2,,,,2,,342.5587
1,33,2,955,3,2,38,2,8,98,1,7,135,1,39,24,1,541,60,2,,,8,2000,1,6000,3,,2,,672.8756
1,33,2,956,3,2,27,2,7,99,1,6,541,1,81,24,1,541,33,2,,,12,2000,1,37000,1,20000,2,,672.8756
1,33,2,957,3,2,31,2,2,98,1,7,773,1,39,24,1,541,60,2,,,2,2000,1,40000,1,,2,,672.8756
1,33,2,959,3,2,23,1,8,99,2,6,Z20,1,39,24,1,541,2,2,,,8,2001,2,,,,2,,672.8756
1,33,1,811,3,2,35,1,10,98,1,7,Z90,4,1,10,2,,,1,7,99,,,2,,,,2,,363.2039
1,33,1,815,1,1,40,1,99,98,2,7,099,7,52,1,2,,,1,99,98,,,2,,,,2,,363.2039
1,33,2,1012,3,2,22,2,1,99,1,4,451,1,51,24,1,541,31,1,7,99,,,1,12000,1,,2,,654.4934
1,33,2,1020,3,2,25,1,7,99,2,4,532,1,39,24,1,541,3,2,,,6,2001,1,12000,1,,1,500,654.4934
1,33,1,649,4,1,37,6,9,99,2,7,Z90,1,81,7,1,023,30,2,,,88,8888,1,234000,1,156000,1,14500,314.0123
1,33,1,654,3,1,30,1,2,99,1,6,985,1,82,88,1,649,8,2,,,88,8888,2,,,,2,,314.0123
1,33,1,675,2,2,41,1,1,97,2,3,560,1,89,24,1,541,4,1,4,97,,,2,,,,2,,314.0122
1,33,1,678,1,2,42,2,9,96,4,7,412,1,89,36,1,541,45,1,8,99,,,1,21000,4,15000,1,2000,314.0122
1,33,1,679,1,1,40,1,4,95,2,7,025,8,57,0,2,,,1,4,95,,,2,,,,2,,314.0122
1,33,2,907,3,2,32,2,12,96,1,6,Z20,1,57,24,1,532,46,1,12,98,,,2,,,,2,,897.1676
1,33,2,907,3,2,39,2,5,97,1,6,452,1,46,28,1,541,48,2,,,4,2000,1,9500,3,,2,,897.1676
1,33,2,910,1,1,51,4,9,99,2,7,Z90,1,57,3,1,023,28,2,,,1,2000,1,18500,4,156000,2,,897.1676
1,33,2,1033,4,2,40,3,12,97,2,4,Z20,1,39,24,1,541,24,1,1,99,,,2,,,,2,,734.0462
1,33,2,1034,3,2,27,3,6,98,2,6,Z20,1,39,24,1,541,45,1,2,99,,,2,,,,2,,734.0462
1,33,2,1035,2,2,46,2,6,99,2,7,054,4,96,12,1,329,12,2,,,3,2000,1,60000,1,,1,1350,734.0462
1,33,2,1037,1,2,47,2,6,99,2,7,Z20,1,81,12,1,066,60,2,,,3,2000,1,55000,4,20000,1,3000,734.0462
1,33,2,1044,3,2,42,2,9,99,1,7,Z20,1,39,12,1,541,57,2,,,9,2001,1,5000,1,30000,1,5000,734.0462
1,33,2,1048,1,1,50,3,4,97,2,4,954,1,81,36,1,954,60,2,,,12,1999,1,60000,1,,1,1300,667.3157
1,33,2,1050,3,2,31,2,4,99,1,4,Z20,1,81,24,1,541,23,2,,,4,2001,1,5000,4,30000,1,22500,667.3157
