RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ221C_CONSUM,RQ221P_CONSUM,RQ222C_INVEST,RQ222P_INVEST,RQ223C_SAVINGS,RQ223P_SAVINGS,RQ224C_OTHERS,RQ224P_OTHERS,RQ23_RET6MOS,RQ24_CASHHOME,RQ25_INKIND,RQ26_KINDAMT,RSWGT,RP6M_IND
01,0028,002,00113,06,04,1,28,01,10,2009,2,03,921,1,213,24,1,743,11,2,,,10,2011,1,0061000,1,1,070,,,3,030,,,2,,2,,000520.3686,1
01,0029,002,00123,03,03,2,30,03,12,2008,2,04,021,1,500,24,1,513,58,2,,,12,2010,2,,,,,,,,,,,2,,2,,000568.2688,1
01,0030,002,00123,02,02,2,37,01,12,2007,2,05,021,1,211,36,1,913,33,2,,,12,2010,2,,,,,,,,,,,2,,2,,000446.8110,1
01,0031,002,00123,09,04,2,54,01,12,2006,1,64,021,1,400,48,1,913,45,2,,,12,2010,1,0018000,1,1,100,,,,,,,2,,2,,000400.6167,1
01,0031,002,00123,10,04,2,55,01,12,2006,1,63,021,1,500,48,1,513,45,2,,,12,2010,1,0018000,1,1,100,,,,,,,2,,2,,000388.8491,1
01,0031,002,00123,11,08,2,32,01,12,2005,1,05,021,1,500,60,1,913,57,2,,,12,2010,2,,,,,,,,,,,2,,2,,000568.2688,1
01,0032,004,00160,03,02,1,42,02,06,2010,2,05,712,6,500,09,1,921,15,2,,,03,2011,1,0084000,5,1,095,2,005,,,,,1,0016800,1,0017000,000458.6752,
01,0032,004,00160,04,03,1,15,02,06,2010,1,03,023,6,500,09,2,,,2,,,03,2011,2,,,,,,,,,,,2,,2,,000448.2309,
01,0033,004,00160,02,02,2,32,01,11,2007,2,03,021,1,300,13,1,913,13,1,12,2008,,,2,,,,,,,,,,,2,,2,,000572.4782,2
01,0034,004,00160,02,02,2,40,01,07,2009,2,61,234,1,500,33,1,513,14,2,,,04,2012,1,0112000,1,1,100,,,,,,,2,,2,,000450.1207,1
01,0035,004,00160,05,02,1,31,01,09,2010,2,04,611,1,233,27,1,931,00,2,,,12,2012,2,,,,,,,,,,,2,,2,,000554.6384,1
01,0036,001,00175,04,03,1,27,01,11,2008,1,65,215,1,222,88,1,215,22,2,,,88,8888,1,0020000,1,1,100,,,,,,,2,,2,,000521.1589,1
01,0037,001,00175,04,02,1,31,01,03,2009,2,05,721,1,500,88,1,913,18,2,,,88,8888,1,0128000,4,1,050,2,030,3,020,,,2,,1,0032000,000521.1589,1
01,0038,001,00175,05,05,1,32,01,07,2010,2,05,419,1,232,24,1,419,02,2,,,07,2012,1,0010000,5,1,100,,,,,,,2,,2,,000521.1589,1
01,0038,001,00175,06,03,2,33,01,01,2009,2,65,323,1,500,88,1,323,20,2,,,88,8888,1,0180000,1,1,085,,,3,015,,,2,,1,0025500,000537.9219,1
01,0039,001,00175,03,03,1,32,01,09,2009,2,05,921,1,400,88,1,913,12,2,,,88,8888,1,0003000,1,1,100,,,,,,,2,,2,,000521.1589,1
01,0040,001,00175,03,03,2,42,02,05,2010,1,64,021,1,211,88,1,913,60,2,,,88,8888,1,0026000,4,1,080,2,020,,,,,1,0050000,2,,000422.9502,1
01,0041,001,00175,04,03,2,35,03,08,2010,2,02,021,1,211,24,1,913,60,2,,,08,2012,1,0012000,1,1,100,,,,,,,1,0080000,2,,000422.9502,1
01,0042,001,00175,02,02,2,35,01,04,2008,2,03,921,1,211,88,1,913,29,2,,,88,8888,1,0060000,1,1,100,,,,,,,2,,2,,000422.9502,1
01,0043,004,00169,01,01,1,61,02,04,2007,2,03,832,1,400,24,1,913,56,1,04,2009,,,2,,,,,,,,,,,2,,2,,000406.3643,2
01,0044,004,00169,11,03,1,18,01,05,2008,1,04,023,5,100,88,2,,,2,,,88,8888,2,,,,,,,,,,,2,,2,,000457.2751,2
01,0045,004,00169,01,01,1,31,01,03,2010,2,04,911,4,211,00,2,,,1,03,2010,,,2,,,,,,,,,,,2,,2,,000565.8296,2
01,0046,004,00169,02,04,2,72,01,04,2006,1,05,323,6,400,42,1,323,42,1,10,2009,,,2,,,,,,,,,,,2,,2,,000361.0136,
01,0047,004,00181,07,03,2,33,02,02,2009,1,05,522,1,500,24,1,421,31,2,,,02,2011,1,0095000,4,1,100,,,,,,,2,,2,,000572.6265,1
01,0048,004,00181,02,02,2,45,01,12,2007,2,05,913,1,400,60,1,913,33,2,,,12,2012,1,0069000,4,1,100,,,,,,,2,,2,,000403.6887,1
01,0049,004,00181,07,03,2,24,01,06,2010,2,05,330,1,222,24,1,913,03,2,,,06,2012,2,,,,,,,,,,,2,,2,,000486.9509,1
01,0050,003,00207,09,06,2,24,01,02,2008,1,68,913,1,400,88,1,913,31,2,,,88,8888,1,0067200,1,1,100,,,,,,,2,,2,,000489.0444,1
01,0050,003,00207,07,03,2,51,02,04,2009,1,05,913,1,400,88,1,913,56,2,,,88,8888,1,0024000,1,1,090,,,3,010,,,2,,2,,000405.4242,1
01,0050,003,00207,08,03,2,46,01,12,2005,1,05,913,1,400,88,1,913,57,2,,,88,8888,1,0024000,1,1,090,,,3,010,,,2,,2,,000405.4242,1
01,0051,003,00207,03,03,2,31,02,01,2008,1,04,021,1,235,88,1,913,58,2,,,88,8888,1,0028000,1,1,090,,,3,010,,,2,,2,,000575.0883,1
01,0052,003,00207,03,02,2,50,02,08,2009,2,04,021,1,211,88,1,913,58,2,,,88,8888,1,0036000,1,1,090,,,3,010,,,2,,2,,000405.4242,1
01,0053,003,00200,10,05,1,34,02,03,2009,2,04,516,1,211,88,1,832,53,2,,,88,8888,1,0015000,3,1,090,,,3,010,,,2,,2,,000523.1344,1
01,0053,003,00200,11,03,2,32,02,02,2008,2,63,021,1,500,88,1,513,52,2,,,88,8888,1,0090000,1,1,090,,,3,010,,,2,,2,,000539.9610,1
01,0053,003,00200,12,05,1,29,02,03,2009,2,65,215,1,234,88,1,215,44,2,,,88,8888,1,0030000,1,1,090,,,3,010,,,2,,2,,000523.1344,1
01,0054,003,00214,05,02,1,33,04,12,2009,2,05,712,1,300,08,1,834,38,1,08,2010,,,1,0054000,2,1,100,,,,,,,1,0060000,2,,000565.8296,1
